Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,721	+7	4,636 		85,766	+13	319	5	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,865310,4679			0.2
2	USA	33,321,373	+46,129	593,146 	+743	26,035,314	+56,334	6,692,913	9,406	100,172	1,783	453,081,055	1,362,063	332,643,210 	North America	105611	139	2	20,120
3	India	21,070,852	+412,618	230,151 	+3,982	17,269,076	+330,676	3,571,625	8,944	15,143	165	294,852,078	211,902	1,391,457,000 	Asia	666,0465	297	3	2,567
4	Brazil	14,936,464	+75,652	414,645 	+2,791	13,529,572	+86,576	992,247	8,318	69,850	1,939	46,616,516	218,001	213,835,998 	South America	145165	354	13	4,640
5	France	5,706,378	+26,000	105,631 	+244	4,729,418	+12,088	871,329	5,402	87,259	1,615	77,308,259	1,182,161	65,395,729 	Europe	116191	398	4	13,324
6	Turkey	4,955,594	+26,476	41,883 	+356	4,589,501	+35,464	324,210	3,418	58,229	492	48,459,224	569,406	85,104,881 	Asia	172,0322	311	4	3,810
7	Russia	4,847,489	+7,975	111,895 	+360	4,464,550	+7,506	271,044	2,300	33,205	766	130,200,000	891,858	145,987,440 	Europe	301,3051	55	2	1,857
8	UK	4,425,940	+2,144	127,570 	+27	4,237,913	+3,141	60,457	181	64,908	1,871	160,653,676	2,356,058	68,187,480 	Europe	155350	31	0.4	887
9	Italy	4,070,391	+10,576	122,005 	+267	3,541,266	+17,072	407,120	2,368	67,406	2,020	59,879,330	991,601	60,386,514 	Europe	154951	175	4	6,742
10	Spain	3,551,262	+6,317	78,566 	+167	3,232,926	+10,229	239,770	2,231	75,930	1,680	47,213,067	1,009,471	46,770,110 	Europe	135951	135	4	5,127
11	Germany	3,469,448	+21,266	84,593 	+308	3,084,700	+23,200	300,155	5,049	41,298	1,007	56,836,969	676,545	84,010,567 	Europe	249931	253	4	3,573
12	Argentina	3,071,496	+24,079	65,865 	+663	2,734,465	+17,007	271,166	5,342	67,437	1,446	11,502,946	252,557	45,545,928 	South America	156924	529	15	5,954
