Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,829	+14	4,636 		85,914	+20	279	1	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,847310,4679	0.01		0.2
2	USA	33,695,916	+25,642	599,863 	+499	27,098,620	+101,975	5,997,433	8,016	101,283	1,803	465,224,944	1,398,370	332,690,850 	North America	105551	77	1	18,027
3	India	24,683,065	+310,822	270,319 	+4,090	20,789,038	+362,715	3,623,708	8,944	17,735	194	313,017,193	224,903	1,391,790,362 	Asia	565,1494	223	3	2,604
4	Brazil	15,590,613	+69,300	434,852 	+2,067	14,062,396	+34,041	1,093,365	8,318	72,897	2,033	46,970,130	219,617	213,873,096 	South America	144925	324	10	5,112
5	France	5,863,839	+15,685	107,535 	+112	5,080,456	+37,872	675,848	4,271	89,662	1,644	81,156,099	1,240,933	65,399,271 	Europe	116081	240	2	10,334
6	Turkey	5,106,862	+11,472	44,537 	+236	4,932,838	+38,814	129,487	2,563	59,991	523	50,667,653	595,199	85,127,184 	Asia	171,9112	135	3	1,521
7	Russia	4,931,691	+8,790	115,480 	+364	4,547,500	+9,866	268,711	2,300	33,781	791	133,100,000	911,713	145,988,974 	Europe	301,2641	60	2	1,841
8	UK	4,448,851	+2,027	127,675 	+7	4,275,502	+2,061	45,674	129	65,236	1,872	169,007,195	2,478,248	68,196,231 	Europe	155340	30	0.1	670
9	Italy	4,153,374	+6,659	124,063 	+136	3,696,481	+13,292	332,830	1,805	68,782	2,055	62,700,094	1,038,350	60,384,337 	Europe	154871	110	2	5,512
10	Spain	3,604,799		79,339 		3,297,340		228,120	1,899	77,074	1,696	47,213,067	1,009,461	46,770,554 	Europe	135901			4,877
11	Germany	3,595,872	+9,981	86,669 	+188	3,275,500	+16,500	233,703	4,376	42,799	1,032	58,093,759	691,451	84,017,137 	Europe	239691	119	2	2,782
12	Argentina	3,290,935	+21,469	70,253 	+400	2,933,946	+20,802	286,736	5,517	72,239	1,542	12,331,859	270,696	45,556,116 	South America	146484	471	9	6,294
13	Colombia	3,103,333	+18,873	80,780 	+530	2,902,646	+13,656	119,907	6,582	60,430	1,573	15,863,467	308,905	51,353,888 	South America	176363	368	10	2,335
14	Poland	2,851,911	+2,896	71,609 	+298	2,595,635	+6,358	184,667	1,627	75,426	1,894	15,135,124	400,289	37,810,486 	Europe	135282	77	8	4,884
15	Iran	2,739,875	+7,723	76,633 	+200	2,210,851	+14,654	452,391	5,396	32,262	902	17,882,461	210,565	84,925,931 	Asia	311,1085	91	2	5,327
16	Mexico	2,377,995	+2,880	220,159 	+258	1,897,587	+2,104	260,249	4,798	18,277	1,692	6,829,477	52,490	130,109,231 	North America	5559119	22	2	2,000
17	Ukraine	2,150,244	+6,796	47,942 	+322	1,849,803	+17,202	252,499	177	49,426	1,102	9,824,399	225,825	43,504,483 	Europe	209074	156	7	5,804
18	Peru	1,879,049		65,608 		1,720,665		92,776	2,685	56,309	1,966	11,972,376	358,773	33,370,299 	South America	185093			2,780
19	Indonesia	1,736,670	+2,385	47,967 	+144	1,597,067	+4,181	91,636		6,291	174	15,481,111	56,084	276,035,532 	Asia	1595,75518	9	0.5	332
20	Czechia	1,652,238	+1,050	29,886 	+7	1,592,219	+83	30,133	293	154,036	2,786	21,214,900	1,977,843	10,726,281 	Europe	63591	98	0.7	2,809
21	South Africa	1,611,143	+2,750	55,183 	+59	1,523,243	+1,078	32,717	546	26,871	920	11,087,505	184,922	59,957,669 	Africa	371,0875	46	1.0	546
22	Netherlands	1,593,728	+4,446	17,436 	+13	1,360,722	+8,724	215,570	704	92,832	1,016	13,171,698	767,229	17,167,883 	Europe	119851	259	0.8	12,557
23	Canada	1,323,681	+5,276	24,908 	+39	1,226,870	+6,760	71,903	1,344	34,806	655	33,383,698	877,832	38,029,713 	North America	291,5271	139	1	1,891
24	Chile	1,280,252	+6,736	27,734 	+87	1,214,817	+6,421	37,701	2,953	66,476	1,440	13,881,510	720,788	19,258,802 	South America	156941	350	5	1,958
25	Philippines	1,138,187	+6,739	19,051 	+93	1,062,427	+8,952	56,709	1,819	10,268	172	12,570,563	113,405	110,846,594 	Asia	975,8189	61	0.8	512
26	Iraq	1,136,917	+2,058	15,930 	+20	1,039,616	+5,220	81,371	465	27,728	389	9,855,685	240,364	41,003,148 	Asia	362,5744	50	0.5	1,985
27	Romania	1,071,334	+729	29,485 	+72	1,023,822	+1,793	18,027	784	56,015	1,542	8,659,474	452,767	19,125,685 	Europe	186492	38	4	943
28	Sweden	1,037,126		14,275 		878,153		144,698	341	102,139	1,406	8,798,383	866,492	10,154,031 	Europe	107111			14,250
29	Belgium	1,028,104	+1,631	24,664 	+19	905,973		97,467	644	88,374	2,120	13,210,753	1,135,577	11,633,513 	Europe	114721	140	2	8,378
30	Pakistan	874,751	+1,531	19,467 	+83	783,480	+3,042	71,804	4,387	3,895	87	12,410,924	55,256	224,606,051 	Asia	25711,53818	7	0.4	320
31	Portugal	841,848	+469	17,006 	+7	802,671	+386	22,171	71	82,771	1,672	11,133,009	1,094,607	10,170,786 	Europe	125981	46	0.7	2,180
32	Israel	839,117	+38	6,381 	+1	831,981	+31	755	66	91,232	694	14,487,253	1,575,114	9,197,590 	Asia	111,4411	4	0.1	82
33	Hungary	797,429	+1,039	29,114 	+73	618,608	+9,717	149,707	308	82,730	3,020	5,622,836	583,344	9,638,965 	Europe	123312	108	8	15,531
34	Bangladesh	779,796	+261	12,124 	+22	721,435	+964	46,237	1,149	4,694	73	5,702,286	34,327	166,114,622 	Asia	21313,70129	2	0.1	278
35	Jordan	723,345	+276	9,243 	+19	710,445		3,657	729	70,288	898	6,921,815	672,601	10,291,121 	Asia	141,1131	27	2	355
36	Serbia	705,890	+705	6,664 	+18	675,008	+1,970	24,218	97	81,075	765	4,001,180	459,553	8,706,675 	Europe	121,3072	81	2	2,782
37	Switzerland	679,510		10,730 		617,283		51,497	179	78,018	1,232	7,273,942	835,159	8,709,646 	Europe	138121			5,913
38	Japan	671,841	+6,272	11,365 	+110	584,770	+5,324	75,706	1,231	5,326	90	13,015,244	103,182	126,138,855 	Asia	18811,09910	50	0.9	600
39	Austria	636,424	+644	10,470 	+15	614,803	+2,280	11,151	321	70,315	1,157	36,217,595	4,001,460	9,051,096 	Europe	148640	71	2	1,232
40	UAE	544,931	+1,321	1,629 	+3	525,080	+1,302	18,222		54,525	163	46,815,989	4,684,348	9,994,131 	Asia	186,1350	132	0.3	1,823
