Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot_Cases/1M_pop,Deaths/1M_pop,Total_Tests,Tests/1M_pop,Population,Region,Day
China,90435,9.0,4636,0.0,85506,11.0,293,4.0,63,3.0,160000000,111163,1439323776,Asia,13-04-2021
USA,32070784,77720.0,577177,819.0,24626410,65554.0,6867197,9540.0,96446,1736.0,422126761,1269452,332526757,North America,13-04-2021
India,13871321,185248.0,172115,1026.0,12332688,82248.0,1366518,8944.0,9975,124.0,259207108,186394,1390642113,Asia,13-04-2021
Brazil,13601566,80157.0,358718,3687.0,12074798,117730.0,1168050,8318.0,63634,1678.0,28600000,133804,213745314,South America,13-04-2021
France,5106329,39113.0,99480,345.0,3972182,25998.0,1034667,5952.0,78094,1521.0,70448755,1077411,65387072,Europe,13-04-2021
Russia,4657883,8173.0,103601,338.0,4281776,9611.0,272506,2300.0,31907,710.0,124100000,850095,145983692,Europe,13-04-2021
UK,4375814,2472.0,127123,23.0,4106779,6718.0,141912,377.0,64193,1865.0,137848442,2022244,68166088,Europe,13-04-2021
Turkey,3962760,59187.0,34455,273.0,3424733,52104.0,503572,2951.0,46593,405.0,42199485,496171,85050360,Asia,13-04-2021
Italy,3793025,13439.0,115088,476.0,3158725,18160.0,519212,3526.0,62807,1906.0,53550491,886717,60391837,Europe,13-04-2021
Spain,3376548,6292.0,76625,100.0,3114053,3027.0,185870,2152.0,72196,1638.0,44285495,946898,46769025,Europe,13-04-2021
Germany,3031836,10772.0,79408,298.0,2700200,16300.0,252228,4662.0,36096,945.0,51559277,613841,83994506,Europe,13-04-2021
Poland,2599833,13210.0,59127,645.0,2219655,21873.0,321051,3513.0,68753,1564.0,13062929,345452,37813984,Europe,13-04-2021
Argentina,2579000,27001.0,58174,217.0,2262875,15751.0,257951,3836.0,56655,1278.0,9743345,214041,45521023,South America,13-04-2021
Colombia,2569314,16377.0,66482,326.0,2408624,12891.0,94208,4299.0,50076,1296.0,13439422,261936,51307978,South America,13-04-2021
Mexico,2281840,1627.0,209702,364.0,1812694,2773.0,259444,4798.0,17553,1613.0,6279527,48306,129994567,North America,13-04-2021
Iran,2118212,24760.0,65055,291.0,1729293,9209.0,323864,4481.0,24969,767.0,13866887,163457,84834876,Asia,13-04-2021
Ukraine,1872785,11680.0,37758,457.0,1430234,14019.0,404793,177.0,43026,867.0,8716400,200254,43526620,Europe,13-04-2021
Peru,1659707,6387.0,55489,259.0,1584425,9183.0,19793,2599.0,49794,1665.0,10086002,302598,33331387,South America,13-04-2021
Czechia,1585100,3871.0,28105,77.0,1482989,346.0,74006,1144.0,147800,2621.0,14635011,1364620,10724603,Europe,13-04-2021
Indonesia,1577526,5702.0,42782,126.0,1426145,6349.0,108599,0.0,5720,155.0,13510828,48989,275790702,Asia,13-04-2021
South Africa,1559960,847.0,53423,67.0,1485315,959.0,21222,546.0,26045,892.0,10181143,169985,59894339,Africa,13-04-2021
Netherlands,1364025,6685.0,16820,29.0,1140370,5943.0,206835,782.0,79467,980.0,11292587,657897,17164681,Europe,13-04-2021
Chile,1088710,5790.0,24518,35.0,1020925,8021.0,43267,3203.0,56571,1274.0,12021128,624639,19244919,South America,13-04-2021
Canada,1078562,7546.0,23392,36.0,976877,4352.0,78293,928.0,28382,616.0,29251338,769737,38001715,North America,13-04-2021
Romania,1012373,3883.0,25441,193.0,915464,5166.0,71468,1530.0,52903,1329.0,7736296,404269,19136495,Europe,13-04-2021
Iraq,941078,8179.0,14796,39.0,826323,5791.0,99959,477.0,22994,362.0,8599946,210131,40926514,Asia,13-04-2021
Belgium,927229,1753.0,23503,30.0,781818,3568.0,121908,899.0,79732,2021.0,11723475,1008102,11629250,Europe,13-04-2021
Sweden,885378,8880.0,13721,4.0,708841,1004.0,162816,391.0,87240,1352.0,7847033,773205,10148706,Europe,13-04-2021
Philippines,884758,8546.0,15285,136.0,703885,322.0,165588,750.0,7991,138.0,10857391,98059,110723047,Asia,13-04-2021
Israel,836334,176.0,6309,5.0,826768,274.0,3257,231.0,90930,686.0,13838957,1504629,9197590,Asia,13-04-2021
Portugal,828173,408.0,16923,5.0,785809,746.0,25441,118.0,81407,1663.0,9563681,940077,10173293,Europe,13-04-2021
Pakistan,729920,4318.0,15619,118.0,638267,3432.0,76034,4198.0,3255,70.0,10829994,48296,224242164,Asia,13-04-2021
Hungary,728078,2837.0,23980,272.0,431124,2050.0,272974,1209.0,75519,2487.0,4976613,516191,9641034,Europe,13-04-2021
Bangladesh,697985,6028.0,9891,69.0,585966,4853.0,102128,0.0,4205,60.0,5070788,30551,165975757,Asia,13-04-2021
Jordan,672090,2790.0,7937,82.0,610614,6570.0,53539,729.0,65362,772.0,6372263,619716,10282548,Asia,13-04-2021
Serbia,648745,3572.0,5808,35.0,566122,5188.0,76815,247.0,74486,667.0,3617179,415307,8709642,Europe,13-04-2021
Switzerland,625367,2241.0,10472,6.0,561861,1567.0,53034,214.0,71846,1203.0,6437818,739614,8704294,Europe,13-04-2021
Austria,581263,2313.0,9748,42.0,541786,3177.0,29729,599.0,64251,1078.0,27197861,3006367,9046752,Europe,13-04-2021
Japan,508802,2516.0,9425,25.0,468770,2854.0,30607,596.0,4033,75.0,10529634,83455,126171504,Asia,13-04-2021
Morocco,502961,684.0,8915,6.0,489288,656.0,4758,246.0,13501,239.0,6116735,164193,37253307,Africa,13-04-2021
Lebanon,499839,1985.0,6738,35.0,411710,5615.0,81391,844.0,73491,991.0,3740454,549957,6801360,Asia,13-04-2021
UAE,487697,2022.0,1537,4.0,471906,1731.0,14254,0.0,48848,154.0,40669721,4073485,9984012,Asia,13-04-2021
Saudi Arabia,400228,951.0,6773,8.0,384635,608.0,8820,962.0,11358,192.0,15919088,451759,35237991,Asia,13-04-2021
Bulgaria,378059,2944.0,14746,127.0,293351,3995.0,69962,799.0,54734,2135.0,2303963,333560,6907188,Europe,13-04-2021
Slovakia,372038,870.0,10716,86.0,255300,0.0,106022,506.0,68117,1962.0,2449747,448530,5461722,Europe,13-04-2021
Malaysia,363940,1767.0,1345,12.0,346295,1290.0,16300,199.0,11133,41.0,8292260,253658,32690753,Asia,13-04-2021
Panama,359121,329.0,6173,6.0,348953,399.0,3995,105.0,82218,1413.0,2252943,515796,4367896,North America,13-04-2021
Ecuador,347589,519.0,17351,53.0,298604,8290.0,31634,600.0,19470,972.0,1198764,67148,17852660,South America,13-04-2021
Belarus,337635,754.0,2373,10.0,327848,761.0,7414,0.0,35740,251.0,5570822,589700,9446877,Europe,13-04-2021
Greece,301103,4017.0,9054,93.0,254804,0.0,37245,802.0,29000,872.0,7185541,692053,10382930,Europe,13-04-2021
Croatia,294874,1936.0,6358,25.0,276420,1659.0,12096,192.0,72179,1556.0,1652525,404504,4085307,Europe,13-04-2021
Georgia,290129,1374.0,3894,11.0,278251,422.0,7984,0.0,72839,978.0,3722612,934593,3983138,Asia,13-04-2021
Azerbaijan,289601,2457.0,3978,34.0,253762,2002.0,31861,0.0,28362,390.0,3040386,297760,10210853,Asia,13-04-2021
Bolivia,283084,989.0,12469,18.0,232422,876.0,38193,71.0,23995,1057.0,999531,84723,11797677,South America,13-04-2021
Nepal,280984,460.0,3058,5.0,274318,153.0,3608,0.0,9510,103.0,2321670,78577,29546342,Asia,13-04-2021
Tunisia,274604,1664.0,9396,64.0,228267,2197.0,36941,436.0,23046,789.0,1191995,100037,11915556,Africa,13-04-2021
Kazakhstan,273825,2016.0,3260,24.0,235862,1197.0,34703,221.0,14448,172.0,9258849,488525,18952655,Asia,13-04-2021
Palestine,272767,1911.0,2901,18.0,237046,2348.0,32820,182.0,52517,559.0,1636553,315093,5193881,Asia,13-04-2021
Dominican Republic,258637,598.0,3397,5.0,217008,228.0,38232,148.0,23656,311.0,1352703,123724,10933195,North America,13-04-2021
Kuwait,250273,1544.0,1419,7.0,233757,1201.0,15097,235.0,57934,328.0,2178279,504232,4319992,Asia,13-04-2021
Moldova,242364,544.0,5438,29.0,225036,1214.0,11890,293.0,60191,1351.0,909884,225969,4026580,Europe,13-04-2021
Ireland,241684,354.0,4803,18.0,221938,365.0,14943,46.0,48521,964.0,4209763,845163,4981009,Europe,13-04-2021
Paraguay,240141,2599.0,4978,89.0,196718,1731.0,38445,485.0,33348,691.0,988044,137206,7201165,South America,13-04-2021
Denmark,238869,563.0,2446,3.0,228007,763.0,8416,39.0,41126,421.0,29940622,5154860,5808232,Europe,13-04-2021
Ethiopia,232512,1568.0,3230,22.0,173818,1838.0,55464,967.0,1984,28.0,2460888,21000,117182537,Africa,13-04-2021
Lithuania,227976,1175.0,3714,13.0,207391,1426.0,16871,150.0,84678,1380.0,2516597,934749,2692270,Europe,13-04-2021
Slovenia,227843,1056.0,4130,4.0,209919,1077.0,13794,146.0,109584,1986.0,1109932,533836,2079163,Europe,13-04-2021
Costa Rica,225343,2799.0,3044,26.0,196060,1300.0,26239,221.0,43921,593.0,842015,164116,5130600,North America,13-04-2021
Egypt,212130,823.0,12526,39.0,160431,432.0,39173,90.0,2043,121.0,2677262,25782,103842186,Africa,13-04-2021
Guatemala,205322,2013.0,7057,37.0,187052,925.0,11213,5.0,11297,388.0,1118361,61535,18174497,North America,13-04-2021
Armenia,204053,726.0,3775,22.0,183660,824.0,16618,0.0,68760,1272.0,909604,306512,2967598,Asia,13-04-2021
Honduras,196086,306.0,4861,57.0,75952,156.0,115273,536.0,19554,485.0,542768,54126,10027818,North America,13-04-2021
Qatar,191979,981.0,340,5.0,170787,593.0,20852,479.0,68373,121.0,1814379,646191,2807805,Asia,13-04-2021
Bosnia and Herzegovina,185664,966.0,7566,79.0,142654,1052.0,35444,0.0,56870,2317.0,846536,259297,3264729,Europe,13-04-2021
Venezuela,176972,1160.0,1815,20.0,159547,1148.0,15610,237.0,6237,64.0,3359014,118390,28372485,South America,13-04-2021
Oman,174364,1335.0,1798,9.0,154771,785.0,17795,250.0,33481,345.0,1550000,297631,5207798,Asia,13-04-2021
Libya,169504,828.0,2830,2.0,154220,576.0,12454,0.0,24409,408.0,919189,132363,6944442,Africa,13-04-2021
Nigeria,163911,74.0,2061,0.0,154225,48.0,7625,11.0,780,10.0,1838174,8748,210120737,Africa,13-04-2021
Bahrain,158789,1060.0,566,4.0,147162,1209.0,11061,84.0,90868,324.0,3815826,2183639,1747462,Asia,13-04-2021
Uruguay,149430,2257.0,1595,62.0,116533,3408.0,31302,486.0,42900,458.0,1561178,448203,3483191,South America,13-04-2021
Kenya,147147,991.0,2394,26.0,99580,370.0,45173,239.0,2690,44.0,1571244,28727,54695314,Africa,13-04-2021
North Macedonia,143162,1128.0,4289,27.0,118946,1152.0,19927,124.0,68719,2059.0,674378,323706,2083307,Europe,13-04-2021
Albania,128752,234.0,2326,5.0,98903,634.0,27523,18.0,44778,809.0,590174,205255,2875324,Europe,13-04-2021
Algeria,118799,154.0,3137,3.0,82813,109.0,32849,19.0,2671,71.0,230861,5191,44469823,Africa,13-04-2021
Estonia,115080,638.0,1049,12.0,96844,1598.0,17187,72.0,86706,790.0,1204118,907237,1327237,Europe,13-04-2021
S. Korea,110688,542.0,1775,5.0,101332,528.0,7581,101.0,2157,35.0,8200519,159842,51303892,Asia,13-04-2021
Latvia,108355,537.0,2002,12.0,99840,200.0,6513,94.0,57952,1071.0,2049958,1096391,1869732,Europe,13-04-2021
Norway,105008,1009.0,688,1.0,88952,0.0,15368,57.0,19252,126.0,4896385,897678,5454503,Europe,13-04-2021
Sri Lanka,95620,226.0,602,4.0,91926,151.0,3092,0.0,4451,28.0,2374627,110531,21483791,Asia,13-04-2021
Montenegro,94643,224.0,1391,10.0,89235,401.0,4017,69.0,150674,2215.0,354624,564572,628129,Europe,13-04-2021
Ghana,91410,75.0,761,7.0,89219,127.0,1430,10.0,2895,24.0,1032144,32684,31579196,Africa,13-04-2021
Kyrgyzstan,90599,227.0,1532,4.0,86152,124.0,2915,25.0,13710,232.0,908302,137447,6608364,Asia,13-04-2021
Zambia,90218,154.0,1229,2.0,88144,67.0,845,56.0,4803,65.0,1314850,69996,18784579,Africa,13-04-2021
Cuba,88445,1060.0,476,9.0,83087,1187.0,4882,61.0,7812,42.0,3256543,287651,11321175,North America,13-04-2021
Uzbekistan,85291,177.0,634,0.0,83089,146.0,1568,23.0,2520,19.0,1377915,40708,33848811,Asia,13-04-2021
Finland,82564,286.0,877,3.0,46000,0.0,35687,38.0,14883,158.0,4182779,753995,5547489,Europe,13-04-2021
Mozambique,68871,79.0,794,3.0,59901,500.0,8176,68.0,2156,25.0,498247,15601,31936814,Africa,13-04-2021
El Salvador,66657,168.0,2054,0.0,63072,114.0,1531,60.0,10236,315.0,873873,134196,6511911,North America,13-04-2021
Luxembourg,64062,182.0,777,5.0,60012,24.0,3273,30.0,101053,1226.0,2520656,3976162,633942,Europe,13-04-2021
Singapore,60692,14.0,30,0.0,60374,17.0,288,1.0,10310,5.0,9036706,1535172,5886444,Asia,13-04-2021
Afghanistan,57492,128.0,2532,3.0,52013,8.0,2947,1124.0,1451,64.0,374076,9443,39612153,Asia,13-04-2021
Cyprus,52652,619.0,274,1.0,39061,0.0,13317,63.0,43361,226.0,4052674,3337575,1214257,Asia,13-04-2021
Namibia,45949,162.0,586,11.0,43984,263.0,1379,32.0,17831,227.0,365079,141676,2576863,Africa,13-04-2021
Ivory Coast,45265,38.0,269,1.0,44771,88.0,225,0.0,1684,10.0,557294,20727,26887262,Africa,13-04-2021
Jamaica,42924,161.0,682,6.0,19136,119.0,23106,37.0,14446,230.0,307193,103386,2971321,North America,13-04-2021
Uganda,41204,30.0,337,0.0,40779,0.0,88,24.0,879,7.0,971265,20725,46863292,Africa,13-04-2021
Senegal,39495,30.0,1081,2.0,38241,26.0,173,14.0,2311,63.0,456487,26715,17087514,Africa,13-04-2021
Zimbabwe,37330,23.0,1543,1.0,34932,31.0,855,12.0,2483,103.0,394257,26227,15032245,Africa,13-04-2021
Thailand,34575,965.0,97,0.0,28288,40.0,6190,1.0,494,1.0,8124896,116173,69937672,Asia,13-04-2021
Malawi,33872,13.0,1133,1.0,31572,0.0,1167,19.0,1736,58.0,224959,11528,19514960,Africa,13-04-2021
Sudan,31700,1589.0,2194,131.0,25451,1237.0,4055,0.0,710,49.0,232965,5218,44647518,Africa,13-04-2021
Malta,29720,59.0,403,1.0,28756,50.0,561,0.0,67169,911.0,836521,1890584,442467,Europe,13-04-2021
Australia,29437,18.0,910,1.0,26361,0.0,2166,0.0,1144,35.0,16161532,628079,25731698,Australia/Oceania,13-04-2021
Madagascar,28765,224.0,512,6.0,24410,305.0,3843,246.0,1018,18.0,156363,5536,28245501,Africa,13-04-2021
Maldives,25759,58.0,67,0.0,22981,185.0,2711,82.0,47007,122.0,673528,1229099,547985,Asia,13-04-2021
Angola,23697,148.0,554,0.0,22115,22.0,1028,15.0,704,16.0,443086,13163,33660723,Africa,13-04-2021
Rwanda,23603,68.0,316,0.0,21395,123.0,1892,6.0,1788,24.0,1230808,93226,13202399,Africa,13-04-2021
Guinea,21106,74.0,136,0.0,18686,73.0,2284,24.0,1574,10.0,416078,31027,13410087,Africa,13-04-2021
Syria,20435,104.0,1392,7.0,14230,108.0,4813,0.0,1146,78.0,103566,5808,17831997,Asia,13-04-2021
Cabo Verde,19231,121.0,187,3.0,17487,88.0,1557,23.0,34297,333.0,136977,244288,560720,Africa,13-04-2021
French Polynesia,18678,12.0,141,0.0,4842,0.0,13695,2.0,66191,500.0,26355,93397,282183,Australia/Oceania,13-04-2021
Réunion,18425,917.0,135,12.0,16794,783.0,1496,54.0,20465,150.0,100098,111180,900327,Africa,13-04-2021
Eswatini,18402,9.0,669,0.0,17682,0.0,51,3.0,15734,572.0,174638,149317,1169580,Africa,13-04-2021
Mauritania,18052,17.0,451,1.0,17398,25.0,203,14.0,3805,95.0,217078,45750,4744829,Africa,13-04-2021
French Guiana,17806,100.0,95,1.0,9995,0.0,7716,9.0,58436,312.0,172132,564901,304712,South America,13-04-2021
Mongolia,16603,885.0,27,2.0,9887,371.0,6689,88.0,5002,8.0,2492932,750979,3319578,Asia,13-04-2021
Guadeloupe,12717,577.0,176,2.0,2242,0.0,10299,13.0,31778,440.0,164128,410137,400178,North America,13-04-2021
Andorra,12614,33.0,121,0.0,11932,42.0,561,29.0,163052,1564.0,193595,2502456,77362,Europe,13-04-2021
Belize,12513,10.0,318,0.0,12137,3.0,58,1.0,31029,789.0,107277,266018,403269,North America,13-04-2021
Mali,12179,177.0,417,3.0,7194,28.0,4568,0.0,588,20.0,243860,11778,20704544,Africa,13-04-2021
Togo,12125,91.0,117,1.0,9464,161.0,2544,0.0,1438,14.0,293694,34839,8430002,Africa,13-04-2021
Hong Kong,11608,13.0,208,1.0,11227,13.0,173,7.0,1539,28.0,11193673,1483647,7544701,Asia,13-04-2021
Curaçao,11430,45.0,74,6.0,7189,344.0,4167,22.0,69433,450.0,85774,521042,164620,North America,13-04-2021
Guyana,11277,88.0,258,1.0,9796,45.0,1223,15.0,14283,327.0,101263,128257,789533,South America,13-04-2021
Aruba,10122,46.0,92,0.0,9515,47.0,515,14.0,94490,859.0,137229,1281053,107122,North America,13-04-2021
Djibouti,10077,102.0,102,2.0,8394,210.0,1581,0.0,10085,102.0,141406,141513,999244,Africa,13-04-2021
Martinique,9890,862.0,64,7.0,98,0.0,9728,24.0,26371,171.0,140946,375820,375036,North America,13-04-2021
Bahamas,9505,45.0,190,0.0,8965,100.0,350,3.0,23991,480.0,80704,203700,396190,North America,13-04-2021
Suriname,9363,47.0,184,2.0,8711,11.0,468,9.0,15849,311.0,46424,78584,590755,South America,13-04-2021
Trinidad and Tobago,8511,70.0,146,0.0,7799,24.0,566,14.0,6066,104.0,118247,84279,1403050,North America,13-04-2021
Iceland,6274,7.0,29,0.0,6152,12.0,93,0.0,18293,85.0,564307,1645296,342982,Europe,13-04-2021
CAR,5682,74.0,75,0.0,5112,0.0,495,2.0,1161,15.0,40907,8356,4895406,Africa,13-04-2021
Yemen,5507,61.0,1073,5.0,2070,11.0,2364,23.0,182,35.0,22934,756,30338432,Asia,13-04-2021
San Marino,4986,21.0,86,0.0,4568,52.0,332,8.0,146703,2530.0,56871,1673316,33987,Europe,13-04-2021
Cambodia,4696,181.0,33,3.0,2252,40.0,2411,0.0,278,2.0,782811,46320,16900093,Asia,13-04-2021
Chad,4652,11.0,167,0.0,4306,8.0,179,0.0,277,10.0,110863,6602,16792515,Africa,13-04-2021
Seychelles,4633,189.0,25,0.0,4310,149.0,298,0.0,46881,253.0,21504,217597,98825,Africa,13-04-2021
Channel Islands,4053,2.0,86,0.0,3956,0.0,11,1.0,23144,491.0,399901,2283583,175120,Europe,13-04-2021
Sierra Leone,4009,1.0,79,0.0,2832,1.0,1098,0.0,495,10.0,118332,14602,8103627,Africa,13-04-2021
Barbados,3740,6.0,44,0.0,3623,10.0,73,0.0,13002,153.0,146575,509557,287652,North America,13-04-2021
Guinea-Bissau,3693,13.0,66,0.0,3083,14.0,544,9.0,1843,33.0,60565,30218,2004263,Africa,13-04-2021
Eritrea,3469,3.0,10,0.0,3231,35.0,228,0.0,968,3.0,23693,6609,3584844,Africa,13-04-2021
Liechtenstein,2768,14.0,56,0.0,2634,9.0,78,5.0,72434,1465.0,32252,843984,38214,Europe,13-04-2021
New Zealand,2587,4.0,26,0.0,2459,2.0,102,0.0,517,5.0,1948223,389481,5002100,Australia/Oceania,13-04-2021
Monaco,2378,1.0,31,0.0,2260,13.0,87,6.0,60264,786.0,51953,1316599,39460,Europe,13-04-2021
Turks and Caicos,2360,3.0,17,0.0,2285,2.0,58,2.0,60316,434.0,41426,1058757,39127,North America,13-04-2021
Sao Tome and Principe,2268,1.0,35,0.0,2192,4.0,41,0.0,10201,157.0,12597,56657,222339,Africa,13-04-2021
Sint Maarten,2188,3.0,27,0.0,2124,6.0,37,1.0,50581,624.0,25304,584969,43257,North America,13-04-2021
Bermuda,1912,21.0,16,0.0,1037,39.0,859,41.0,30791,258.0,218967,3526209,62097,North America,13-04-2021
Caribbean Netherlands,1526,7.0,14,0.0,1416,20.0,96,0.0,57772,530.0,10011,379004,26414,North America,13-04-2021
Antigua and Barbuda,1201,3.0,31,1.0,947,9.0,223,45.0,12185,315.0,16493,167331,98565,North America,13-04-2021
Timor-Leste,1086,40.0,2,1.0,550,0.0,534,0.0,812,1.0,50556,37783,1338060,Asia,13-04-2021
Taiwan,1062,4.0,11,0.0,1027,1.0,24,0.0,45,0.5,513203,21517,23850673,Asia,13-04-2021
Cayman Islands,523,7.0,2,0.0,498,11.0,23,0.0,7885,30.0,85460,1288465,66327,North America,13-04-2021
China,90447,12.0,4636,0.0,85513,7.0,298,6.0,63,3.0,160000000,111163,1439323776,Asia,14-04-2021
USA,32149660,78876.0,578098,921.0,24696161,69751.0,6875401,9676.0,96683,1739.0,423439379,1273399,332526757,North America,14-04-2021
India,14070890,199569.0,173152,1037.0,12426146,93458.0,1471592,8944.0,10118,125.0,260618866,187409,1390642113,Asia,14-04-2021
Brazil,13677564,75998.0,362180,3462.0,12170771,95973.0,1144613,8318.0,63990,1694.0,28600000,133804,213745314,South America,14-04-2021
France,5149834,43505.0,99777,297.0,3978356,6174.0,1071701,5902.0,78759,1526.0,70521002,1078516,65387072,Europe,14-04-2021
Russia,4666209,8326.0,104000,399.0,4291223,9447.0,270986,2300.0,31964,712.0,124400000,852150,145983692,Europe,14-04-2021
UK,4378304,2490.0,127161,38.0,4113338,6559.0,137805,370.0,64230,1865.0,138606631,2033366,68166088,Europe,14-04-2021
Turkey,4025557,62797.0,34734,279.0,3480146,55413.0,510677,3018.0,47331,408.0,42509905,499820,85050360,Asia,14-04-2021
Italy,3809182,16157.0,115557,469.0,3178976,20251.0,514649,3490.0,63074,1913.0,53885257,892261,60391837,Europe,14-04-2021
Spain,3387022,10474.0,76756,131.0,3118437,4384.0,191829,2153.0,72420,1641.0,44285495,946898,46769025,Europe,14-04-2021
Germany,3064382,32546.0,79813,405.0,2718700,18500.0,265869,4662.0,36483,950.0,51559277,613841,83994506,Europe,14-04-2021
Poland,2621112,21279.0,59930,803.0,2229801,10146.0,331381,3457.0,69316,1585.0,13243930,350239,37813984,Europe,14-04-2021
Argentina,2604157,25157.0,58542,368.0,2278486,15611.0,267129,3879.0,57208,1286.0,9833106,216012,45521023,South America,14-04-2021
Colombia,2585801,16487.0,66819,337.0,2419265,10641.0,99717,4299.0,50398,1302.0,13526900,263641,51307978,South America,14-04-2021
Mexico,2286133,4293.0,210294,592.0,1815237,2543.0,260602,4798.0,17586,1618.0,6305194,48504,129994567,North America,14-04-2021
Iran,2143794,25582.0,65359,304.0,1739002,9709.0,339433,4539.0,25270,770.0,13964570,164609,84834876,Asia,14-04-2021
Ukraine,1887338,14553.0,38225,467.0,1442618,12384.0,406495,177.0,43361,878.0,8770753,201503,43526620,Europe,14-04-2021
Peru,1667737,8030.0,55812,323.0,1592937,8512.0,18988,2615.0,50035,1674.0,10158843,304783,33331387,South America,14-04-2021
Czechia,1590150,5050.0,28184,79.0,1483301,312.0,78665,1097.0,148271,2628.0,14872167,1386734,10724603,Europe,14-04-2021
Indonesia,1583182,5656.0,42906,124.0,1431892,5747.0,108384,0.0,5741,156.0,13584986,49258,275790702,Asia,14-04-2021
South Africa,1561559,1599.0,53498,75.0,1486873,1558.0,21188,546.0,26072,893.0,10216114,170569,59894339,Africa,14-04-2021
Netherlands,1369411,5386.0,16847,27.0,1145813,5443.0,206751,776.0,79781,981.0,11292587,657897,17164681,Europe,14-04-2021
Chile,1094267,5557.0,24548,30.0,1026934,6009.0,42785,3271.0,56860,1276.0,12057833,626546,19244919,South America,14-04-2021
Canada,1087152,8590.0,23445,53.0,983506,6629.0,80201,928.0,28608,617.0,29363293,772683,38001715,North America,14-04-2021
Romania,1016449,4076.0,25605,164.0,920653,5189.0,70191,1521.0,53116,1338.0,7773502,406213,19136495,Europe,14-04-2021
Iraq,949050,7972.0,14836,40.0,831519,5196.0,102695,512.0,23189,363.0,8644228,211213,40926514,Asia,14-04-2021
Belgium,930603,3374.0,23566,63.0,784717,2899.0,122320,919.0,80023,2026.0,11767945,1011926,11629250,Europe,14-04-2021
Philippines,892856,8098.0,15446,161.0,704308,423.0,173102,750.0,8064,140.0,10917317,98600,110723047,Asia,14-04-2021
Sweden,892480,7102.0,13725,4.0,711498,2657.0,167257,391.0,87940,1352.0,7847033,773205,10148706,Europe,14-04-2021
Israel,836504,170.0,6312,3.0,827184,416.0,3008,219.0,90948,686.0,13914938,1512890,9197590,Asia,14-04-2021
Portugal,828857,684.0,16931,8.0,786469,660.0,25457,116.0,81474,1664.0,9608064,944440,10173293,Europe,14-04-2021
Pakistan,734423,4503.0,15754,135.0,641912,3645.0,76757,4216.0,3275,70.0,10878086,48510,224242164,Asia,14-04-2021
Hungary,731675,3597.0,24265,285.0,435344,4220.0,272066,1204.0,75892,2517.0,5011794,519840,9641034,Europe,14-04-2021
Bangladesh,703170,5185.0,9987,96.0,591299,5333.0,101884,0.0,4237,60.0,5095613,30701,165975757,Asia,14-04-2021
Jordan,676175,4085.0,7987,50.0,617096,6482.0,51092,729.0,65759,777.0,6404559,622857,10282548,Asia,14-04-2021
Serbia,651899,3154.0,5846,38.0,571312,5190.0,74741,247.0,74848,671.0,3632392,417054,8709642,Europe,14-04-2021
Switzerland,627968,2601.0,10488,16.0,563438,1577.0,54042,209.0,72145,1205.0,6474822,743865,8704294,Europe,14-04-2021
Austria,584205,2942.0,9779,31.0,544989,3203.0,29437,586.0,64576,1081.0,27703138,3062219,9046752,Europe,14-04-2021
Japan,512169,3367.0,9469,44.0,471007,2237.0,31693,608.0,4059,75.0,10595999,83981,126171504,Asia,14-04-2021
Morocco,503664,703.0,8920,5.0,489928,640.0,4816,245.0,13520,239.0,6127022,164469,37253307,Africa,14-04-2021
Lebanon,502299,2460.0,6778,40.0,413175,1465.0,82346,821.0,73853,997.0,3759792,552800,6801360,Asia,14-04-2021
UAE,489495,1798.0,1541,4.0,473398,1492.0,14556,0.0,49028,154.0,40925902,4099144,9984012,Asia,14-04-2021
Saudi Arabia,401157,929.0,6781,8.0,385441,806.0,8935,986.0,11384,192.0,15973019,453290,35237991,Asia,14-04-2021
Bulgaria,380576,2517.0,14871,125.0,296998,3647.0,68707,807.0,55099,2153.0,2319263,335775,6907188,Europe,14-04-2021
Slovakia,373107,1069.0,10798,82.0,255300,0.0,107009,488.0,68313,1977.0,2458340,450103,5461722,Europe,14-04-2021
Malaysia,365829,1889.0,1353,8.0,347780,1485.0,16696,204.0,11191,41.0,8345401,255283,32690753,Asia,14-04-2021
Panama,359516,395.0,6177,4.0,349318,365.0,4021,105.0,82309,1414.0,2262027,517876,4367896,North America,14-04-2021
Ecuador,350539,2950.0,17400,49.0,298604,0.0,34535,591.0,19635,975.0,1205869,67546,17852660,South America,14-04-2021
Belarus,338801,1166.0,2383,10.0,329135,1287.0,7283,0.0,35864,252.0,5589696,591698,9446877,Europe,14-04-2021
Greece,304184,3081.0,9135,81.0,261176,6372.0,33873,809.0,29297,880.0,7249251,698189,10382930,Europe,14-04-2021
Croatia,297973,3099.0,6399,41.0,277694,1274.0,13880,185.0,72938,1566.0,1663542,407201,4085307,Europe,14-04-2021
Azerbaijan,291894,2293.0,4009,31.0,255833,2071.0,32052,0.0,28587,393.0,3054472,299140,10210853,Asia,14-04-2021
Georgia,291214,1085.0,3901,7.0,278683,432.0,8630,0.0,73112,979.0,3758475,943596,3983138,Asia,14-04-2021
Bolivia,284183,1099.0,12496,27.0,233646,1224.0,38041,71.0,24088,1059.0,1010063,85615,11797677,South America,14-04-2021
Nepal,281564,580.0,3061,3.0,274447,129.0,4056,0.0,9530,104.0,2325959,78722,29546342,Asia,14-04-2021
