Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,894	+22	4,636 		85,963	+18	295	2	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,835310,4679	0.02		0.2
2	USA	33,773,783	+27,672	601,313 	+734	27,253,327	+51,018	5,919,143	7,747	101,511	1,807	468,068,102	1,406,827	332,712,023 	North America	105531	83	2	17,791
3	India	25,495,144	+267,174	283,276 	+4,525	21,979,703	+389,700	3,232,165	8,944	18,316	204	318,292,881	228,669	1,391,938,524 	Asia	554,9144	192	3	2,322
4	Brazil	15,735,485	+74,379	439,379 	+2,517	14,247,609	+95,176	1,048,497	8,318	73,568	2,054	47,073,060	220,081	213,889,584 	South America	144875	348	12	4,902
5	France	5,898,347	+17,210	108,040 	+198	5,181,684	+29,118	608,623	4,015	90,188	1,652	81,932,887	1,252,780	65,400,845 	Europe	116051	263	3	9,306
6	Turkey	5,139,485	+11,937	45,186 	+203	4,971,245	+10,125	123,054	2,232	60,367	531	51,294,008	602,487	85,137,097 	Asia	171,8842	140	2	1,445
7	Russia	4,957,756	+8,183	116,575 	+364	4,572,226	+8,972	268,955	2,300	33,960	799	134,000,000	917,873	145,989,656 	Europe	291,2521	56	2	1,842
8	UK	4,449,831	+2,412	127,691 	+7	4,281,947	+2,680	40,193	125	65,247	1,872	171,398,433	2,513,169	68,200,120 	Europe	155340	35	0.1	589
9	Italy	4,167,019	+4,446	124,497 	+201	3,727,220	+11,831	315,302	1,689	69,009	2,062	63,284,455	1,048,044	60,383,369 	Europe	144851	74	3	5,222
10	Spain	3,619,848	+3,988	79,502 	+70	3,342,024	+8,437	198,322	1,774	77,396	1,700	48,928,535	1,046,135	46,770,751 	Europe	135881	85	1	4,240
11	Germany	3,615,896	+7,604	87,148 	+278	3,320,300	+19,600	208,448	4,015	43,036	1,037	58,093,759	691,427	84,020,058 	Europe	239641	91	3	2,481
12	Argentina	3,371,508	+35,543	71,771 	+744	2,992,325	+19,058	307,412	5,813	74,000	1,575	12,602,579	276,611	45,560,644 	South America	146354	780	16	6,747
13	Colombia	3,144,547	+13,137	82,291 	+482	2,947,661	+16,381	114,595	6,582	61,226	1,602	15,998,997	311,508	51,359,811 	South America	166243	256	9	2,231
14	Poland	2,856,917	+1,727	71,921 	+246	2,609,216	+3,513	175,780	1,418	75,560	1,902	15,276,880	404,043	37,810,035 	Europe	135262	46	7	4,649
15	Iran	2,779,415	+13,930	77,532 	+310	2,258,046	+16,023	443,837	5,173	32,723	913	18,285,393	215,280	84,937,680 	Asia	311,0965	164	4	5,225
16	Mexico	2,382,745	+822	220,489 	+56	1,903,494	+2,172	258,762	4,798	18,311	1,694	6,856,267	52,690	130,124,027 	North America	5559019	6	0.4	1,989
17	Ukraine	2,160,095	+4,095	48,469 	+285	1,882,344	+17,751	229,282	177	49,655	1,114	9,882,447	227,174	43,501,627 	Europe	208984	94	7	5,271
18	Peru	1,897,900	+4,566	66,770 	+299	1,720,665		110,465	2,655	56,865	2,001	12,173,032	364,732	33,375,320 	South America	185003	137	9	3,310
19	Indonesia	1,748,230	+4,185	48,477 	+172	1,612,239	+5,628	87,514		6,333	176	15,653,438	56,702	276,067,124 	Asia	1585,69518	15	0.6	317
20	Czechia	1,654,225	+1,133	29,948 	+20	1,602,814	+146	21,463	239	154,219	2,792	21,701,619	2,023,178	10,726,498 	Europe	63580	106	2	2,001
21	South Africa	1,617,840	+2,355	55,340 	+80	1,527,968	+1,330	34,532	546	26,979	923	11,166,950	186,222	59,965,841 	Africa	371,0845	39	1	576
22	Netherlands	1,606,319	+5,326	17,473 	+17	1,386,377	+8,498	202,469	649	93,563	1,018	13,524,699	787,772	17,168,296 	Europe	119831	310	1.0	11,793
23	Canada	1,338,141	+4,033	25,018 	+35	1,248,382	+6,882	64,741	1,344	35,183	658	33,668,274	885,231	38,033,326 	North America	281,5201	106	0.9	1,702
24	Chile	1,295,862	+3,766	27,965 	+31	1,231,047	+5,201	36,850	2,979	67,280	1,452	14,043,876	729,151	19,260,593 	South America	156891	196	2	1,913
25	Philippines	1,154,371	+4,470	19,371 	+109	1,082,627	+6,285	52,373	1,819	10,413	175	12,694,238	114,504	110,862,535 	Asia	965,7239	40	1.0	472
26	Iraq	1,146,948	+4,023	16,029 	+34	1,056,885	+6,198	74,034	475	27,965	391	9,929,858	242,115	41,013,036 	Asia	362,5594	98	0.8	1,805
27	Romania	1,072,972	+681	29,662 	+91	1,027,412	+1,113	15,898	716	56,105	1,551	8,721,739	456,056	19,124,290 	Europe	186452	36	5	831
28	Sweden	1,051,762	+4,631	14,311 		899,766	+4,006	137,685	306	103,574	1,409	9,481,745	933,728	10,154,718 	Europe	107101	456		13,559
29	Belgium	1,032,895	+972	24,723 	+14	922,277	+11,625	85,895	616	88,782	2,125	13,306,670	1,143,768	11,634,063 	Europe	114711	84	1	7,383
30	Pakistan	882,928	+2,566	19,752 	+135	795,511	+2,989	67,665	4,361	3,930	88	12,510,568	55,688	224,653,004 	Asia	25411,37418	11	0.6	301
31	Portugal	842,767	+386	17,011 	+2	803,759	+568	21,997	66	82,864	1,673	11,233,120	1,104,485	10,170,462 	Europe	125981	38	0.2	2,163
32	Israel	839,167	+8	6,392 	+3	832,144	+51	631	60	91,238	695	14,487,253	1,575,114	9,197,590 	Asia	111,4391	0.9	0.3	69
33	Hungary	798,955	+382	29,277 	+64	640,964	+9,988	128,714	251	82,890	3,037	5,656,131	586,815	9,638,698 	Europe	123292	40	7	13,354
34	Bangladesh	782,129	+1,272	12,211 	+30	724,209	+1,115	45,709	1,156	4,708	74	5,734,918	34,520	166,132,540 	Asia	21213,60529	8	0.2	275
35	Jordan	726,432	+1,174	9,295 	+19	710,445		6,692	729	70,581	903	7,001,979	680,317	10,292,227 	Asia	141,1071	114	2	650
36	Serbia	707,719	+686	6,710 	+14	681,248	+1,992	19,761	86	81,288	771	4,030,710	462,965	8,706,292 	Europe	121,2982	79	2	2,270
37	Japan	687,473	+3,328	11,624 	+116	602,356	+7,179	73,493	1,235	5,450	92	13,220,299	104,811	126,134,642 	Asia	18310,85110	26	0.9	583
38	Switzerland	683,400	+1,240	10,751 	+7	624,189	+2,494	48,460	174	78,459	1,234	7,360,542	845,035	8,710,337 	Europe	138101	142	0.8	5,564
39	Austria	638,155	+582	10,499 	+19	618,798	+1,491	8,858	275	70,501	1,160	36,840,818	4,070,064	9,051,656 	Europe	148620	64	2	979
40	UAE	548,681	+1,270	1,637 	+4	528,769	+1,250	18,275		54,893	164	47,264,038	4,728,561	9,995,437 	Asia	186,1060	127	0.4	1,828
41	Lebanon	536,554	+600	7,641 	+10	502,762	+1,890	26,151	305	78,923	1,124	4,224,382	621,374	6,798,451 	Asia	138902	88	1	3,847
42	Morocco	515,420	+397	9,105 	+1	503,861	+378	2,454	112	13,820	244	6,396,074	171,499	37,295,133 	Africa	724,0966	11	0.03	66
43	Malaysia	479,421	+4,865	1,994 	+47	432,600	+3,497	44,827	531	14,648	61	10,663,780	325,807	32,730,407 	Asia	6816,4143	149	1	1,370
44	Nepal	472,354	+8,136	5,411 	+196	352,414	+6,891	114,529		15,960	183	2,812,959	95,044	29,596,521 	Asia	635,47011	275	7	3,870
45	Saudi Arabia	435,026	+1,046	7,188 	+14	419,761	+847	8,077	1,384	12,327	204	18,106,104	513,068	35,289,873 	Asia	814,9102	30	0.4	229
46	Bulgaria	415,326	+457	17,379 	+36	367,464	+2,782	30,483	485	60,173	2,518	2,698,506	390,962	6,902,215 	Europe	173973	66	5	4,416
47	Ecuador	411,466	+596	19,877 	+91	354,499		37,090	599	23,015	1,112	1,374,244	76,867	17,878,294 	South America	4389913	33	5	2,075
48	Slovakia	387,892	+233	12,248 	+10	371,371	+367	4,273	188	71,017	2,242	2,772,844	507,663	5,461,974 	Europe	144462	43	2	782
49	Greece	381,266	+2,781	11,534 	+63	340,612		29,120	639	36,738	1,111	8,950,025	862,397	10,378,085 	Europe	279001	268	6	2,806
50	Belarus	378,711	+1,179	2,721 	+10	368,832	+992	7,158		40,090	288	6,113,124	647,126	9,446,581 	Europe	253,4722	125	1	758
51	Panama	371,684	+539	6,300 	+3	359,848	+367	5,536	105	84,968	1,440	2,537,845	580,159	4,374,396 	North America	126942	123	0.7	1,266
52	Kazakhstan	362,030	+1,837	4,095 	+22	320,241	+2,500	37,694	221	19,080	216	10,989,671	579,192	18,974,127 	Asia	524,6332	97	1	1,987
