Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,457	+10	4,636 		85,524	+11	297	5	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,912310,4679
2	USA	32,224,139	+74,479	579,055 	+922	24,770,980	+74,819	6,874,104	9,759	96,904	1,741	424,903,332	1,277,761	332,537,343 	North America	105741
3	India	14,287,740	+216,850	174,335 	+1,183	12,543,978	+117,832	1,569,427	8,944	10,274	125	262,003,415	188,395	1,390,716,194 	Asia	977,9775
4	Brazil	13,758,093	+80,529	365,954 	+3,774	12,236,295	+65,524	1,155,844	8,318	64,364	1,712	28,600,000	133,799	213,753,558 	South America	165847
5	France	5,187,879	+38,045	100,091 	+302	4,008,331	+29,975	1,079,457	5,924	79,340	1,531	71,017,438	1,086,095	65,387,859 	Europe	136531
6	Russia	4,675,153	+8,944	104,398 	+398	4,301,448	+10,225	269,307	2,300	32,025	715	124,700,000	854,203	145,984,033 	Europe	311,3981
7	UK	4,380,976	+2,672	127,191 	+30	4,133,836	+5,246	119,949	351	64,267	1,866	139,824,361	2,051,172	68,168,033 	Europe	165360
8	Turkey	4,086,957	+61,400	35,031 	+297	3,535,040	+54,894	516,886	3,080	48,051	412	42,828,122	503,533	85,055,316 	Asia	212,4282
9	Italy	3,826,136	+16,954	115,937 	+380	3,200,196	+21,220	510,003	3,417	63,356	1,920	54,204,890	897,560	60,391,353 	Europe	165211
10	Spain	3,396,685	+9,663	76,882 	+126	3,123,268	+4,831	196,535	2,143	72,627	1,644	44,285,495	946,896	46,769,124 	Europe	146081
11	Germany	3,095,016	+30,634	80,141 	+328	2,736,100	+17,400	278,775	4,662	36,847	954	52,737,238	627,854	83,995,966 	Europe	271,0482
12	Poland	2,642,241	+21,129	60,613 	+683	2,238,638	+8,837	342,990	3,443	69,875	1,603	13,335,088	352,652	37,813,758 	Europe	146243
13	Argentina	2,629,156	+24,999	58,925 	+383	2,300,232	+21,746	269,999	3,900	57,754	1,294	9,903,405	217,546	45,523,287 	South America	177735
14	Colombia	2,602,719	+16,918	67,199 	+380	2,432,061	+12,796	103,459	4,299	50,724	1,310	13,616,060	265,364	51,310,940 	South America	207644
15	Mexico	2,291,246	+5,113	210,812 	+518	1,817,866	+2,629	262,568	4,798	17,625	1,622	6,332,152	48,708	130,001,965 	North America	5761721
16	Iran	2,168,872	+25,078	65,680 	+321	1,749,041	+10,039	354,151	4,601	25,564	774	14,059,260	165,714	84,840,750 	Asia	391,2926
17	Ukraine	1,903,765	+16,427	38,658 	+433	1,453,766	+11,148	411,341	177	43,739	888	8,822,097	202,689	43,525,192 	Europe	231,1265
18	Peru	1,681,063	+13,326	56,149 	+337	1,602,034	+9,097	22,880	2,603	50,431	1,684	10,226,394	306,787	33,333,897 	South America	205943
19	Czechia	1,593,865	+3,710	28,279 	+80	1,485,687	+300	79,899	1,076	148,616	2,637	15,102,106	1,408,160	10,724,712 	Europe	73791
20	Indonesia	1,589,359	+6,177	43,073 	+167	1,438,254	+6,362	108,032		5,763	156	13,659,569	49,526	275,806,497 	Asia	1746,40320
21	South Africa	1,562,931	+1,372	53,571 	+73	1,488,060	+1,187	21,300	546	26,093	894	10,259,664	171,284	59,898,425 	Africa	381,1186
22	Netherlands	1,378,145	+8,734	16,861 	+14	1,150,716	+4,903	210,568	772	80,289	982	11,292,587	657,889	17,164,888 	Europe	121,0182
23	Chile	1,101,698	+7,431	24,766 	+218	1,033,189	+6,255	43,743	3,257	57,244	1,287	12,128,654	630,197	19,245,815 	South America	177772
24	Canada	1,096,716	+9,564	23,500 	+55	990,074	+6,568	83,142	1,089	28,858	618	29,497,034	776,166	38,003,522 	North America	351,6171
25	Romania	1,020,301	+3,852	25,800 	+195	925,395	+4,742	69,106	1,518	53,319	1,348	7,811,019	408,189	19,135,798 	Europe	197422
26	Iraq	956,874	+7,824	14,885 	+49	837,336	+5,817	104,653	501	23,377	364	8,690,527	212,319	40,931,458 	Asia	432,7505
27	Belgium	935,316	+4,713	23,603 	+37	786,295	+1,578	125,418	941	80,426	2,030	11,820,183	1,016,394	11,629,525 	Europe	124931
28	Philippines	904,245	+11,389	15,593 	+147	705,107	+799	183,545	750	8,166	141	10,977,922	99,140	110,731,018 	Asia	1227,10110
29	Sweden	900,138	+7,655	13,752 		718,278	+6,780	168,108	391	88,692	1,355	7,847,033	773,179	10,149,050 	Europe	117381
30	Israel	836,706	+202	6,314 	+2	827,447	+263	2,945	209	90,970	686	13,914,938	1,512,890	9,197,590 	Asia	111,4571
31	Portugal	829,358	+501	16,933 	+2	787,011	+542	25,414	109	81,524	1,664	9,645,758	948,160	10,173,131 	Europe	126011
32	Pakistan	739,818	+5,395	15,872 	+118	646,652	+4,740	77,294	4,276	3,299	71	10,942,771	48,794	224,265,640 	Asia	30314,13020
33	Hungary	736,982	+5,307	24,521 	+256	440,498	+5,154	271,963	1,156	76,443	2,543	5,033,736	522,123	9,640,900 	Europe	133932
34	Bangladesh	707,362	+4,192	10,081 	+94	597,214	+5,915	100,067		4,262	61	5,115,572	30,820	165,984,716 	Asia	23516,46532
35	Jordan	679,138	+2,963	8,057 	+70	621,870	+4,774	49,211	729	66,044	784	6,426,320	624,940	10,283,101 	Asia	151,2762
36	Serbia	654,870	+2,971	5,881 	+35	575,771	+4,459	73,218	259	75,191	675	3,646,957	418,736	8,709,451 	Europe	131,4812
37	Switzerland	630,194	+2,226	10,498 	+10	564,850	+1,412	54,846	213	72,397	1,206	6,505,841	747,399	8,704,639 	Europe	148291
38	Austria	586,883	+2,678	9,813 	+34	547,604	+2,615	29,466	577	64,870	1,085	27,703,138	3,062,124	9,047,032 	Europe	159220
39	Japan	516,169	+4,000	9,499 	+30	473,390	+2,383	33,280	631	4,091	75	10,670,227	84,571	126,169,398 	Asia	24413,28212
40	Lebanon	504,800	+2,501	6,809 	+31	416,624	+3,449	81,367	795	74,222	1,001	3,778,035	555,496	6,801,193 	Asia	139992
41	Morocco	504,260	+596	8,927 	+7	490,366	+438	4,967	243	13,535	240	6,137,435	164,738	37,255,697 	Africa	744,1736
42	UAE	491,423	+1,928	1,545 	+4	475,012	+1,614	14,866		49,218	155	41,150,933	4,121,413	9,984,665 	Asia	206,4630
43	Saudi Arabia	402,142	+985	6,791 	+10	386,102	+661	9,249	999	11,411	193	16,018,862	454,552	35,240,955 	Asia	885,1892
44	Bulgaria	382,761	+2,185	14,979 	+108	300,391	+3,393	67,391	811	55,417	2,169	2,333,971	337,919	6,906,904 	Europe	184613
45	Slovakia	373,950	+843	10,877 	+79	255,300		107,773	472	68,467	1,991	2,465,652	451,441	5,461,737 	Europe	155022
46	Malaysia	367,977	+2,148	1,363 	+10	349,039	+1,259	17,575	212	11,256	42	8,407,970	257,179	32,693,019 	Asia	8923,9864
47	Panama	359,830	+314	6,183 	+6	349,718	+400	3,929	105	82,374	1,415	2,272,867	520,313	4,368,267 	North America	127062
48	Ecuador	355,431	+4,892	17,489 	+89	298,604		39,338	601	19,908	980	1,215,898	68,102	17,854,124 	South America	501,02115
49	Belarus	340,023	+1,222	2,393 	+10	330,483	+1,348	7,147		35,993	253	5,608,959	593,738	9,446,860 	Europe	283,9482
50	Greece	308,006	+3,822	9,239 	+104	264,324	+3,148	34,443	819	29,665	890	7,314,249	704,468	10,382,653 	Europe	341,1241
51	Croatia	300,900	+2,927	6,442 	+43	279,151	+1,457	15,307	179	73,657	1,577	1,674,418	409,877	4,085,169 	Europe	146342
52	Azerbaijan	294,211	+2,317	4,045 	+36	257,942	+2,109	32,224		28,812	396	3,068,679	300,516	10,211,352 	Asia	352,5243
53	Georgia	292,244	+1,030	3,908 	+7	279,389	+706	8,947		73,371	981	3,791,276	951,841	3,983,096 	Asia	141,0191
54	Bolivia	285,291	+1,108	12,519 	+23	234,596	+950	38,176	71	24,180	1,061	1,019,593	86,417	11,798,547 	South America	4194212
55	Nepal	282,054	+490	3,066 	+5	274,604	+157	4,384		9,545	104	2,329,547	78,836	29,549,209 	Asia	1059,63813
56	Tunisia	279,376	+2,649	9,553 	+73	231,285	+1,531	38,538	450	23,445	802	1,207,304	101,316	11,916,231 	Africa	431,24710
57	Kazakhstan	278,695	+2,641	3,306 	+20	239,448	+2,002	35,941	221	14,704	174	9,401,901	496,041	18,953,882 	Asia	685,7332
58	Palestine	276,407	+1,717	2,937 	+14	241,343	+2,052	32,127	177	53,211	565	1,663,545	320,249	5,194,531 	Asia	191,7693
59	Dominican Republic	259,639	+379	3,405 	+3	217,613	+327	38,621	156	23,746	311	1,360,208	124,404	10,933,789 	North America	423,2118
60	Kuwait	253,066	+1,391	1,428 	+5	236,384	+1,331	15,254	244	58,576	331	2,195,787	508,244	4,320,337 	Asia	173,0252
61	Paraguay	244,528	+2,367	5,110 	+70	200,259	+1,786	39,159	504	33,954	710	1,001,158	139,018	7,201,644 	South America	291,4097
62	Moldova	244,177	+812	5,493 	+27	227,569	+1,244	11,115	290	60,642	1,364	922,034	228,990	4,026,529 	Europe	167334
63	Ireland	242,402	+297	4,820 	+8	222,851	+347	14,731	51	48,662	968	4,241,709	851,525	4,981,310 	Europe	211,0331
64	Denmark	240,330	+798	2,449 	+2	229,372	+687	8,509	37	41,377	422	30,797,340	5,302,259	5,808,343 	Europe	242,3720
65	Ethiopia	236,554	+2,149	3,285 	+33	175,879	+1,288	57,390	1,031	2,018	28	2,478,471	21,148	117,198,144 	Africa	49535,67747
66	Lithuania	230,513	+1,219	3,732 	+11	208,890	+767	17,891	151	85,627	1,386	2,553,641	948,581	2,692,064 	Europe	127211
67	Slovenia	229,966	+890	4,142 	+7	212,815	+1,330	13,009	150	110,605	1,992	1,119,516	538,445	2,079,164 	Europe	95022
68	Costa Rica	227,533	+1,121	3,065 	+11	196,752	+178	27,716	236	44,346	597	889,922	173,445	5,130,854 	North America	231,6746
69	Egypt	213,798	+837	12,611 	+41	161,470	+439	39,717	90	2,059	121	2,677,262	25,779	103,852,749 	Africa	4868,23539
70	Guatemala	208,694	+1,567	7,120 	+31	188,695	+801	12,879	5	11,482	392	1,139,962	62,717	18,176,311 	North America	872,55316
71	Armenia	206,142	+1,014	3,817 	+23	185,125	+882	17,200		69,464	1,286	920,423	310,154	2,967,628 	Asia	147773
72	Honduras	198,214	+1,510	4,905 	+32	76,130	+49	117,179	576	19,765	489	550,206	54,863	10,028,680 	North America	512,04518
73	Qatar	193,952	+989	357 	+9	171,985	+597	21,610	489	69,076	127	1,825,071	649,999	2,807,805 	Asia	147,8652
74	Bosnia and Herzegovina	187,715	+1,343	7,702 	+60	144,932	+988	35,081		57,500	2,359	858,968	263,114	3,264,618 	Europe	174244
75	Venezuela	179,365	+1,271	1,853 	+19	161,820	+1,200	15,692	263	6,322	65	3,359,014	118,392	28,372,047 	South America	15815,3118
76	Oman	176,668	+1,035	1,821 	+14	156,845	+1,200	18,002	267	33,919	350	1,550,000	297,590	5,208,510 	Asia	292,8603
77	Libya	170,558	+513	2,873 	+39	155,712	+595	11,973		24,559	414	924,294	133,089	6,944,953 	Africa	412,4178
78	Nigeria	164,080	+80	2,061 		154,285	+15	7,734	11	781	10	1,838,174	8,747	210,148,740 	Africa	1,281101,964114
79	Bahrain	160,934	+970	574 	+5	149,159	+1,066	11,201	89	92,079	328	3,852,868	2,204,427	1,747,787 	Asia	113,0450
80	Uruguay	156,499	+4,410	1,726 	+79	122,637	+3,249	32,136	508	44,929	496	1,594,213	457,679	3,483,257 	South America	222,0182
81	Kenya	149,219	+1,091	2,424 	+4	99,580		47,215	261	2,728	44	1,584,731	28,970	54,701,802 	Africa	36722,56735
82	North Macedonia	145,001	+890	4,357 	+35	120,707	+1,024	19,937	124	69,601	2,091	681,272	327,015	2,083,306 	Europe	144783
83	Myanmar	142,610	+5	3,206 		131,879	+5	7,525		2,607	59	2,557,057	46,749	54,698,114 	Asia	38417,06121
84	Albania	129,128	+169	2,335 	+4	100,013	+572	26,780	18	44,909	812	595,392	207,071	2,875,307 	Europe	221,2315
85	Algeria	119,142	+167	3,144 	+3	83,048	+119	32,950	16	2,679	71	230,861	5,191	44,474,156 	Africa	37314,146193
86	Estonia	116,200	+572	1,064 	+7	99,096	+1,207	16,040	63	87,550	802	1,214,411	914,988	1,327,242 	Europe	111,2471
87	S. Korea	112,117	+698	1,788 	+6	102,513	+530	7,816	99	2,185	35	8,291,126	161,607	51,304,133 	Asia	45828,6946
88	Latvia	109,731	+643	2,030 	+11	101,088	+624	6,613	94	58,692	1,086	2,086,123	1,115,802	1,869,618 	Europe	179211
89	Norway	105,902	+631	707 	+1	88,952		16,243	55	19,415	130	4,944,869	906,528	5,454,734 	Europe	527,7151
90	Sri Lanka	95,949	+212	608 	+4	92,308	+157	3,033		4,466	28	2,374,627	110,529	21,484,281 	Asia	22435,3369
91	Montenegro	95,042	+183	1,412 	+7	89,965	+350	3,665	69	151,310	2,248	357,126	568,555	628,129 	Europe	74452
92	Ghana	91,545	+68	766 	+3	89,400	+99	1,379	8	2,899	24	1,039,284	32,907	31,582,748 	Africa	34541,23130
93	Kyrgyzstan	91,144	+305	1,540 	+6	86,491	+178	3,113	25	13,791	233	918,783	139,021	6,608,953 	Asia	734,2927
94	Zambia	90,532	+143	1,230 	+1	88,283	+42	1,019	51	4,819	65	1,327,186	70,642	18,787,404 	Africa	20815,27414
95	Cuba	90,408	+1,004	491 	+4	85,121	+1,007	4,796	69	7,986	43	3,298,208	291,332	11,321,137 	North America	12523,0573
