Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,483	+15	4,636 		85,538	+5	309	4	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,907310,4679
2	USA	32,361,280	+63,625	580,751 	+735	24,909,770	+69,411	6,870,759	9,824	97,313	1,746	428,132,055	1,287,430	332,547,930 	North America	105731
3	India	14,782,461	+260,778	177,168 	+1,495	12,805,094	+138,205	1,800,199	8,944	10,629	127	264,972,022	190,519	1,390,790,274 	Asia	947,8505
4	Brazil	13,900,134	+65,792	371,889 	+2,865	12,344,861	+45,998	1,183,384	8,318	65,026	1,740	28,600,000	133,794	213,761,802 	South America	155757
5	France	5,260,182	+35,861	100,593 	+189	4,081,203	+34,685	1,078,386	5,877	80,445	1,538	71,808,202	1,098,175	65,388,646 	Europe	126501
6	Russia	4,693,469	+9,321	105,193 	+398	4,319,389	+8,832	268,887	2,300	32,150	721	125,100,000	856,941	145,984,373 	Europe	311,3881
7	UK	4,385,938	+2,206	127,260 	+35	4,145,810	+6,257	112,868	332	64,338	1,867	140,944,028	2,067,538	68,169,978 	Europe	165360
8	Turkey	4,212,645	+62,606	35,608 	+288	3,643,734	+52,184	533,303	3,240	49,525	419	43,467,516	511,020	85,060,273 	Asia	202,3892
9	Italy	3,857,437	+15,364	116,676 	+310	3,235,459	+16,484	505,302	3,340	63,875	1,932	54,864,328	908,487	60,390,869 	Europe	165181
10	Spain	3,407,283		76,981 		3,129,234		201,068	2,180	72,853	1,646	44,285,495	946,894	46,769,223 	Europe	146081
11	Germany	3,137,907	+20,957	80,526 	+139	2,765,100	+13,100	292,281	4,740	37,357	959	52,737,238	627,844	83,997,426 	Europe	271,0432
12	Argentina	2,677,747	+19,119	59,164 	+80	2,343,808	+19,701	274,775	3,977	58,819	1,300	10,090,767	221,651	45,525,551 	South America	177695
13	Poland	2,675,872	+15,761	61,825 	+616	2,285,221	+29,989	328,826	3,372	70,765	1,635	13,503,602	357,110	37,813,532 	Europe	146123
14	Colombia	2,636,076	+16,654	67,931 	+367	2,457,888	+15,435	110,257	4,299	51,372	1,324	13,774,899	268,444	51,313,902 	South America	197554
15	Mexico	2,299,939	+4,504	211,693 	+480	1,823,732	+2,773	264,514	4,798	17,691	1,628	6,378,763	49,064	130,009,363 	North America	5761420
16	Iran	2,215,445	+21,312	66,327 	+319	1,772,688	+11,191	376,430	4,694	26,111	782	14,277,782	168,278	84,846,625 	Asia	381,2796
17	Ukraine	1,936,228	+14,984	39,536 	+440	1,475,556	+9,736	421,136	177	44,487	908	8,915,393	204,840	43,523,764 	Europe	221,1015
18	Peru	1,697,626	+8,575	56,797 	+343	1,619,680	+9,117	21,149	2,616	50,924	1,704	10,374,315	311,201	33,336,408 	South America	205873
19	Czechia	1,600,347	+3,210	28,413 	+42	1,495,596	+272	76,338	971	149,219	2,649	15,507,408	1,445,936	10,724,820 	Europe	73771
20	Indonesia	1,599,763	+5,041	43,328 	+132	1,450,192	+5,963	106,243		5,800	157	13,797,813	50,024	275,822,293 	Asia	1726,36620
21	South Africa	1,565,680	+1,325	53,711 	+48	1,489,457	+885	22,512	546	26,137	897	10,305,641	172,040	59,902,511 	Africa	381,1156
22	Netherlands	1,395,328	+8,285	16,904 	+31	1,162,739	+6,113	215,685	795	81,289	985	11,292,587	657,881	17,165,094 	Europe	121,0152
23	Chile	1,117,348	+8,037	25,055 	+132	1,045,807	+8,268	46,486	3,277	58,054	1,302	12,206,029	634,188	19,246,710 	South America	177682
24	Canada	1,113,907	+7,845	23,591 	+50	1,003,553	+6,351	86,763	1,089	29,309	621	29,803,243	784,186	38,005,328 	North America	341,6111
25	Romania	1,027,039	+3,474	26,072 	+135	936,515	+5,573	64,452	1,505	53,673	1,363	7,883,209	411,976	19,135,100 	Europe	197342
26	Iraq	970,987	+6,552	14,948 	+33	849,718	+5,867	106,321	505	23,719	365	8,767,925	214,184	40,936,402 	Asia	422,7395
27	Belgium	943,213	+3,904	23,681 	+45	794,506	+5,083	125,026	930	81,103	2,036	11,907,015	1,023,837	11,629,800 	Europe	124911
28	Philippines	926,035	+11,084	15,810 	+72	706,477	+744	203,748	750	8,362	143	11,103,200	100,265	110,738,989 	Asia	1207,00410
29	Sweden	900,138		13,788 		724,648		161,702	391	88,689	1,359	7,847,033	773,153	10,149,393 	Europe	117361
30	Israel	836,882	+142	6,331 	+16	827,964	+219	2,587	202	90,989	688	13,929,118	1,514,431	9,197,590 	Asia	111,4531
31	Portugal	830,560	+649	16,942 	+5	788,274	+667	25,344	103	81,644	1,665	9,690,372	952,561	10,172,969 	Europe	126001
32	Pakistan	750,158	+4,976	16,094 	+112	654,956	+4,181	79,108	4,149	3,345	72	11,072,531	49,367	224,289,117 	Asia	29913,93620
33	Hungary	746,802	+4,604	24,979 	+217	450,791	+4,871	271,032	1,093	77,463	2,591	5,096,421	528,632	9,640,767 	Europe	133862
34	Bangladesh	715,252	+3,473	10,283 	+101	608,815	+5,907	96,154		4,309	62	5,150,663	31,029	165,993,675 	Asia	23216,14332
35	Jordan	683,466	+1,596	8,178 	+61	631,944	+6,032	43,344	729	66,461	795	6,459,718	628,154	10,283,654 	Asia	151,2572
36	Serbia	660,299	+2,583	5,954 	+34	584,098	+4,473	70,247	228	75,816	684	3,673,249	421,764	8,709,259 	Europe	131,4632
37	Switzerland	632,399		10,505 	+2	568,416	+1,737	53,478	222	72,648	1,207	6,538,153	751,082	8,704,984 	Europe	148291
38	Austria	591,347	+2,048	9,870 	+27	552,619	+2,149	28,858	548	65,362	1,091	28,615,969	3,162,925	9,047,312 	Europe	159170
39	Japan	525,218	+4,473	9,584 	+46	478,378	+2,804	37,256	702	4,163	76	10,833,896	85,869	126,167,291 	Asia	24013,16412
40	Lebanon	508,503	+1,695	6,886 	+32	423,848	+3,625	77,769	774	74,769	1,012	3,814,173	560,823	6,801,027 	Asia	139882
41	Morocco	505,447	+600	8,944 	+10	491,537	+616	4,966	235	13,566	240	6,157,491	165,266	37,258,087 	Africa	744,1666
42	UAE	495,224	+1,958	1,550 	+3	478,063	+1,545	15,611		49,595	155	41,563,833	4,162,495	9,985,318 	Asia	206,4420
43	Saudi Arabia	404,054	+948	6,810 	+9	387,795	+775	9,449	1,018	11,465	193	16,123,732	457,490	35,243,920 	Asia	875,1752
44	Bulgaria	385,963	+1,076	15,138 	+38	305,237	+1,204	65,588	797	55,883	2,192	2,357,428	341,329	6,906,620 	Europe	184563
45	Slovakia	375,336	+750	11,043 	+73	255,300		108,993	450	68,721	2,022	2,486,691	455,292	5,461,751 	Europe	154952
46	Malaysia	372,859	+2,331	1,370 	+5	352,395	+1,832	19,094	225	11,404	42	8,540,200	261,206	32,695,285 	Asia	8823,8654
47	Panama	360,597	+348	6,187 	+2	350,347	+213	4,063	105	82,542	1,416	2,292,939	524,863	4,368,639 	North America	127062
48	Ecuador	358,157	+2,193	17,641 	+113	298,604		41,912	618	20,059	988	1,225,383	68,627	17,855,589 	South America	501,01215
49	Belarus	342,923	+1,384	2,413 	+10	333,373	+1,401	7,137		36,300	255	5,647,213	597,788	9,446,843 	Europe	283,9152
50	Greece	313,444	+2,411	9,397 	+67	267,947	+1,772	36,100	824	30,190	905	7,443,639	716,949	10,382,376 	Europe	331,1051
51	Croatia	306,225	+2,627	6,523 	+37	283,418	+2,359	16,284	182	74,963	1,597	1,693,080	414,459	4,085,032 	Europe	136262
52	Azerbaijan	298,522	+2,148	4,107 	+30	262,480	+2,287	31,935		29,233	402	3,096,740	303,250	10,211,851 	Asia	342,4863
53	Georgia	294,540	+1,219	3,925 	+9	280,132	+301	10,483		73,948	985	3,856,967	968,344	3,983,055 	Asia	141,0151
54	Bolivia	287,360	+1,246	12,625 	+22	236,455	+960	38,280	71	24,354	1,070	1,037,899	87,962	11,799,417 	South America	4193511
