Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,847	+18	4,636 		85,920	+6	291	1	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,843310,4679	0.01		0.2
2	USA	33,722,409	+21,736	600,164 	+290	27,137,276	+38,009	5,984,969	7,958	101,359	1,804	466,077,114	1,400,887	332,701,437 	North America	105541	65	0.9	17,989
3	India	24,964,925	+281,860	274,411 	+4,092	21,167,609	+378,571	3,522,905	8,944	17,936	197	314,850,143	226,207	1,391,864,443 	Asia	565,0724	203	3	2,531
4	Brazil	15,627,475	+36,862	435,823 	+971	14,097,287	+34,891	1,094,365	8,318	73,066	2,038	47,073,060	220,090	213,881,340 	South America	144915	172	5	5,117
5	France	5,877,787	+13,948	107,616 	+81	5,116,786	+36,330	653,385	4,255	89,874	1,646	81,239,297	1,242,190	65,400,058 	Europe	116081	213	1	9,991
6	Turkey	5,117,374	+10,512	44,760 	+223	4,947,256	+14,418	125,358	2,468	60,111	526	50,869,896	597,540	85,132,141 	Asia	171,9022	123	3	1,473
7	Russia	4,940,245	+8,554	115,871 	+391	4,556,073	+8,573	268,301	2,300	33,840	794	133,500,000	914,450	145,989,315 	Europe	301,2601	59	3	1,838
8	UK	4,450,777	+1,926	127,679 	+4	4,277,207	+1,705	45,891	129	65,262	1,872	169,007,195	2,478,178	68,198,176 	Europe	155340	28	0.06	673
9	Italy	4,159,121	+5,752	124,156 	+93	3,706,084	+9,603	328,881	1,779	68,878	2,056	62,902,667	1,041,713	60,383,853 	Europe	154861	95	2	5,447
10	Spain	3,612,239	+4,429	79,401 	+31	3,327,061	+9,746	205,777	1,899	77,233	1,698	47,213,067	1,009,459	46,770,653 	Europe	135891	95	0.7	4,400
11	Germany	3,602,939	+7,067	86,731 	+62	3,286,400	+10,900	229,808	4,376	42,883	1,032	58,093,759	691,439	84,018,598 	Europe	239691	84	0.7	2,735
12	Argentina	3,307,285	+16,350	70,522 	+269	2,952,599	+18,653	284,164	5,538	72,594	1,548	12,399,366	272,164	45,558,380 	South America	146464	359	6	6,237
13	Colombia	3,118,426	+15,093	81,300 	+520	2,917,584	+14,938	119,542	6,582	60,721	1,583	15,925,025	310,086	51,356,849 	South America	166323	294	10	2,328
14	Poland	2,854,081	+2,169	71,664 	+55	2,600,974	+5,339	181,443	1,589	75,484	1,895	15,184,082	401,586	37,810,261 	Europe	135282	57	1	4,799
15	Iran	2,751,166	+11,291	76,936 	+303	2,226,122	+15,271	448,108	5,337	32,393	906	18,018,878	212,157	84,931,806 	Asia	311,1045	133	4	5,276
16	Mexico	2,380,690	+2,695	220,380 	+221	1,899,742	+2,155	260,568	4,798	18,297	1,694	6,846,110	52,615	130,116,629 	North America	5559019	21	2	2,003
17	Ukraine	2,153,864	+3,620	48,075 	+133	1,857,724	+7,921	248,065	177	49,511	1,105	9,841,788	226,232	43,503,055 	Europe	209054	83	3	5,702
18	Peru	1,889,052	+4,456	66,220 	+309	1,720,665		102,167	2,680	56,605	1,984	12,091,820	362,325	33,372,810 	South America	185043	134	9	3,061
19	Indonesia	1,739,750	+3,080	48,093 	+126	1,600,857	+3,790	90,800		6,302	174	15,528,037	56,251	276,051,328 	Asia	1595,74018	11	0.5	329
20	Czechia	1,652,842	+598	29,907 	+13	1,596,907	+31	26,028	270	154,091	2,788	21,298,436	1,985,611	10,726,389 	Europe	63591	56	1	2,427
21	South Africa	1,613,728	+2,585	55,210 	+27	1,524,352	+1,109	34,166	546	26,913	921	11,115,048	185,369	59,961,755 	Africa	371,0865	43	0.5	570
22	Netherlands	1,598,164	+4,436	17,449 	+13	1,369,607	+8,885	211,108	681	93,089	1,016	13,524,699	787,781	17,168,090 	Europe	119841	258	0.8	12,297
23	Canada	1,328,582	+4,901	24,948 	+40	1,233,287	+6,417	70,347	1,344	34,934	656	33,482,165	880,379	38,031,520 	North America	291,5241	129	1	1,850
24	Chile	1,286,548	+6,296	27,832 	+98	1,220,351	+5,534	38,365	2,954	66,800	1,445	13,947,396	724,175	19,259,697 	South America	156921	327	5	1,992
25	Philippines	1,143,946	+5,773	19,190 	+139	1,069,826	+7,499	54,930	1,819	10,319	173	12,618,348	113,828	110,854,565 	Asia	975,7779	52	1	496
26	Iraq	1,139,373	+2,456	15,954 	+24	1,045,240	+5,624	78,179	456	27,784	389	9,872,873	240,754	41,008,092 	Asia	362,5704	60	0.6	1,906
27	Romania	1,071,899	+565	29,523 	+38	1,025,145	+1,323	17,231	777	56,047	1,544	8,678,223	453,764	19,124,987 	Europe	186482	30	2	901
28	Sweden	1,037,126		14,275 		892,260	+14,107	130,591	306	102,136	1,406	9,481,745	933,760	10,154,374 	Europe	107111			12,861
29	Belgium	1,030,071	+1,967	24,686 	+22	910,652	+4,679	94,733	622	88,541	2,122	13,252,380	1,139,129	11,633,788 	Europe	114711	169	2	8,143
30	Pakistan	877,130	+2,379	19,543 	+76	788,768	+5,288	68,819	4,376	3,905	87	12,444,042	55,398	224,629,527 	Asia	25611,49418	11	0.3	306
31	Portugal	842,182	+334	17,007 	+1	802,900	+229	22,275	71	82,805	1,672	11,165,909	1,097,859	10,170,624 	Europe	125981	33	0.10	2,190
32	Israel	839,119	+2	6,382 	+1	832,072	+91	665	71	91,232	694	14,487,253	1,575,114	9,197,590 	Asia	111,4411	0.2	0.1	72
33	Hungary	798,147	+718	29,175 	+61	625,088	+6,480	143,884	261	82,805	3,027	5,638,662	584,994	9,638,832 	Europe	123302	74	6	14,928
34	Bangladesh	780,159	+363	12,149 	+25	722,036	+601	45,974	1,149	4,696	73	5,707,716	34,358	166,123,581 	Asia	21313,67429	2	0.2	277
35	Jordan	724,154	+809	9,259 	+16	710,445		4,450	729	70,363	900	6,940,992	674,428	10,291,674 	Asia	141,1121	79	2	432
36	Serbia	706,458	+568	6,681 	+17	677,135	+2,127	22,642	99	81,142	767	4,009,511	460,520	8,706,484 	Europe	121,3032	65	2	2,601
37	Switzerland	679,510		10,731 	+1	620,295	+1,400	48,484	187	78,015	1,232	7,273,942	835,126	8,709,992 	Europe	138121		0.1	5,566
38	Japan	677,912	+6,349	11,463 	+98	590,044	+5,274	76,405	1,223	5,374	91	13,084,423	103,732	126,136,748 	Asia	18611,00410	50	0.8	606
39	Austria	637,097	+673	10,474 	+4	616,148	+1,345	10,475	293	70,387	1,157	36,393,075	4,020,723	9,051,376 	Europe	148640	74	0.4	1,157
40	UAE	546,182	+1,251	1,631 	+2	526,302	+1,222	18,249		54,647	163	46,919,907	4,694,439	9,994,784 	Asia	186,1280	125	0.2	1,826
41	Lebanon	535,753	+307	7,620 	+18	497,198		30,935	333	78,803	1,121	4,183,866	615,400	6,798,617 	Asia	138922	45	3	4,550
42	Morocco	514,944	+127	9,098 		503,181	+297	2,665	96	13,808	244	6,380,889	171,103	37,292,743 	Africa	724,0996	3		71
43	Malaysia	470,110	+3,780	1,902 	+36	426,319	+3,990	41,889	520	14,364	58	10,503,288	320,925	32,728,141 	Asia	7017,2073	115	1	1,280
44	Nepal	455,020	+7,316	5,001 	+145	339,756	+6,648	110,263		15,376	169	2,771,020	93,636	29,593,654 	Asia	655,91811	247	5	3,726
45	Saudi Arabia	433,094	+825	7,162 	+15	417,787	+1,028	8,145	1,376	12,274	203	17,970,506	509,268	35,286,908 	Asia	814,9272	23	0.4	231
46	Bulgaria	414,192	+151	17,259 	+9	362,475	+148	34,458	499	60,006	2,500	2,668,212	386,557	6,902,499 	Europe	174003	22	1	4,992
47	Ecuador	410,129	+609	19,699 	+7	354,499	+11,621	35,931	587	22,942	1,102	1,368,816	76,569	17,876,829 	South America	4490713	34	0.4	2,010
48	Slovakia	387,523	+103	12,224 	+21	370,895	+343	4,404	193	70,949	2,238	2,762,414	505,755	5,461,960 	Europe	144472	19	4	806
49	Greece	377,090	+1,259	11,415 	+50	338,571	+3,415	27,104	656	36,334	1,100	8,856,180	853,331	10,378,362 	Europe	289091	121	5	2,612
50	Belarus	376,341	+1,627	2,701 	+10	367,097	+1,842	6,543		39,839	286	6,090,900	644,772	9,446,598 	Europe	253,4972	172	1	693
51	Panama	370,877	+344	6,296 		359,214	+276	5,367	105	84,791	1,439	2,524,764	577,218	4,374,024 	North America	126952	79		1,227
52	Kazakhstan	358,104	+2,459	4,054 	+15	316,003	+3,166	38,047	221	18,874	214	10,749,824	566,588	18,972,900 	Asia	534,6802	130	0.8	2,005
53	Croatia	350,390	+480	7,708 	+21	336,450	+1,113	6,232	181	85,816	1,888	1,927,262	472,017	4,083,037 	Europe	125302	118	5	1,526
54	Bolivia	331,516	+1,783	13,493 	+42	270,466	+1,178	47,557	200	28,066	1,142	1,305,414	110,516	11,812,036 	South America	368759	151	4	4,026
55	Georgia	330,375	+968	4,442 	+16	308,821	+903	17,112		82,958	1,115	4,579,651	1,149,958	3,982,451 	Asia	128971	243	4	4,297
56	Azerbaijan	329,843	+472	4,779 	+11	314,900	+1,122	10,164		32,277	468	3,384,053	331,150	10,219,085 	Asia	312,1383	46	1	995
57	Tunisia	326,572	+740	11,849 	+70	287,644	+704	27,079	445	27,382	993	1,387,361	116,324	11,926,699 	Africa	371,0079	62	6	2,270
58	Paraguay	313,527	+1,781	7,596 	+62	260,339	+2,001	45,592	582	43,491	1,054	1,194,232	165,657	7,209,064 	South America	239496	247	9	6,324
59	Palestine	303,827	+169	3,428 	+5	292,523	+1,332	7,876	78	58,377	659	1,790,483	344,019	5,204,602 	Asia	171,5183	32	1.0	1,513
60	Kuwait	291,629	+828	1,693 	+6	277,820	+1,028	12,116	186	67,418	391	2,460,103	568,719	4,325,689 	Asia	152,5552	191	1	2,801
61	Costa Rica	287,304	+1,768	3,593 	+22	223,737	+803	59,974	489	55,952	700	1,093,074	212,876	5,134,790 	North America	181,4295	344	4	11,680
62	Dominican Republic	277,188	+916	3,582 	+13	233,830	+399	39,776	289	25,330	327	1,478,358	135,096	10,942,996 	North America	393,0557	84	1	3,635
63	Denmark	266,503	+964	2,502 		250,951	+694	13,050	32	45,869	431	46,740,649	8,044,771	5,810,066 	Europe	222,3220	166		2,246
64	Ethiopia	266,264	+432	3,996 	+20	219,566	+700	42,702	582	2,267	34	2,652,558	22,586	117,440,068 	Africa	44129,38944	4	0.2	364
65	Lithuania	265,559	+763	4,105 	+16	239,915	+213	21,539	185	98,762	1,527	3,105,619	1,154,990	2,688,871 	Europe	106551	284	6	8,010
66	Ireland	255,672	+355	4,941 		237,878	+714	12,853	39	51,278	991	4,729,538	948,567	4,985,980 	Europe	201,0091	71		2,578
67	Moldova	253,845	+109	6,027 	+11	244,857	+193	2,961	149	63,056	1,497	1,048,032	260,333	4,025,739 	Europe	166684	27	3	736
68	Slovenia	249,311	+293	4,324 	+4	237,424	+363	7,563	120	119,908	2,080	1,230,743	591,934	2,079,189 	Europe	84812	141	2	3,637
69	Egypt	245,721	+1,201	14,327 	+58	181,478	+901	49,916	90	2,362	138	2,715,258	26,104	104,016,476 	Africa	4237,26038	12	0.6	480
70	Guatemala	241,369	+252	7,887 	+15	221,298	+762	12,184	5	13,259	433	1,345,112	73,889	18,204,421 	North America	752,30814	14	0.8	669
71	Uruguay	240,512	+2,433	3,459 	+40	209,338	+2,668	27,715	499	69,028	993	2,005,217	575,505	3,484,274 	South America	141,0072	698	11	7,954
72	Honduras	225,964	+708	5,954 	+17	82,561	+12	137,449	536	22,502	593	676,623	67,379	10,042,033 	North America	441,68715	71	2	13,687
73	Armenia	220,860	+131	4,323 	+9	208,454	+354	8,083		74,411	1,456	1,036,673	349,272	2,968,096 	Asia	136873	44	3	2,723
74	Venezuela	215,301	+1,070	2,396 	+14	199,202	+1,169	13,703	316	7,590	84	3,359,014	118,420	28,365,252 	South America	13211,8398	38	0.5	483
75	Qatar	213,183	+256	530 	+4	207,077	+770	5,576	205	75,925	189	1,970,800	701,901	2,807,805 	Asia	135,2981	91	1	1,986
76	Oman	205,511	+588	2,193 	+9	190,342	+3,951	12,976	255	39,373	420	1,550,000	296,961	5,219,545 	Asia	252,3803	113	2	2,486
77	Bosnia and Herzegovina	202,419	+106	9,026 	+31	168,549		24,844		62,037	2,766	937,964	287,463	3,262,899 	Europe	163623	32	10	7,614
78	Bahrain	200,977	+1,884	746 	+9	183,859	+1,324	16,372	160	114,659	426	4,353,926	2,483,948	1,752,825 	Asia	92,3500	1,075	5	9,340
79	Libya	181,410	+231	3,088 	+3	168,128	+499	10,194		26,091	444	983,395	141,437	6,952,869 	Africa	382,2527	33	0.4	1,466
80	Nigeria	165,709	+7	2,066 		156,413	+1	7,230	11	787	10	1,977,479	9,391	210,582,794 	Africa	1,271101,928106	0.03		34
81	Kenya	165,465	+86	3,003 	+2	113,612	+123	48,850	117	3,019	55	1,744,393	31,831	54,802,355 	Africa	33118,24931	2	0.04	891
82	North Macedonia	154,698	+62	5,211 	+14	145,851	+245	3,636	111	74,256	2,501	756,480	363,116	2,083,299 	Europe	134003	30	7	1,745
83	Myanmar	143,065	+6	3,212 		132,115	+15	7,738		2,614	59	2,601,770	47,539	54,728,958 	Asia	38317,03921	0.1		141
84	Sri Lanka	142,746	+2,275	962 	+21	118,322	+1,102	23,462		6,642	45	3,075,321	143,092	21,491,868 	Asia	15122,3417	106	1.0	1,092
85	Albania	132,015	+37	2,432 	+3	124,312	+1,231	5,271	18	45,918	846	674,402	234,571	2,875,041 	Europe	221,1824	13	1	1,833
86	S. Korea	131,671	+610	1,900 	+4	121,764	+482	8,007	150	2,566	37	9,336,614	181,972	51,307,858 	Asia	39027,0045	12	0.08	156
87	Latvia	127,978	+381	2,266 	+9	117,231	+804	8,481	78	68,516	1,213	2,490,506	1,333,344	1,867,864 	Europe	158241	204	5	4,540
88	Estonia	127,053	+131	1,222 	+2	118,678	+125	7,153	36	95,722	921	1,359,778	1,024,456	1,327,317 	Europe	101,0861	99	2	5,389
89	Algeria	125,311	+117	3,374 	+8	87,359	+108	34,578	28	2,813	76	230,861	5,183	44,541,312 	Africa	35513,201193	3	0.2	776
90	Cuba	124,454	+1,233	804 	+8	116,660	+1,155	6,990	126	10,994	71	3,993,104	352,730	11,320,554 	North America	9114,0803	109	0.7	617
91	Norway	119,299	+247	774 		88,952		29,573	22	21,856	142	5,423,294	993,583	5,458,320 	Europe	467,0521	45		5,418
92	Thailand	101,447	+2,302	589 	+24	65,803	+2,136	35,055	1,228	1,450	8	8,124,896	116,147	69,953,419 	Asia	690118,7669	33	0.3	501
93	Kyrgyzstan	100,473	+224	1,703 	+8	93,602	+300	5,168	85	15,182	257	1,056,526	159,642	6,618,078 	Asia	663,8866	34	1	781
94	Montenegro	98,852	+74	1,561 	+1	95,902	+101	1,389	60	157,374	2,485	395,033	628,897	628,136 	Europe	64022	118	2	2,211
95	Uzbekistan	96,670	+302	668 	+1	92,111	+280	3,891	23	2,852	20	1,377,915	40,655	33,892,564 	Asia	35150,73725	9	0.03	115
96	Ghana	93,243		783 		91,146		1,314	7	2,947	25	1,118,523	35,354	31,637,796 	Africa	33940,40628			42
97	Zambia	92,436	+27	1,260 		90,816	+39	360	39	4,909	67	1,471,632	78,149	18,831,181 	Africa	20414,94513	1		19
98	Finland	90,105	+227	931 		46,000		43,174	28	16,240	168	4,763,903	858,630	5,548,263 	Europe	625,9591	41		7,782
99	Cameroon	74,946		1,152 		70,497		3,297	385	2,763	42	1,518,411	55,988	27,120,494 	Africa	36223,54218			122
100	El Salvador	71,479	+149	2,187 	+5	66,903	+127	2,389	22	10,972	336	956,458	146,812	6,514,856 	North America	912,9797	23	0.8	367
101	Cyprus	71,064	+165	346 		39,061		31,657	50	58,487	285	5,881,056	4,840,184	1,215,048 	Asia	173,5120	136		26,054
102	Mozambique	70,442	+32	826 		68,725	+15	891	21	2,200	26	536,999	16,773	32,016,074 	Africa	45538,76060	1.0		28
103	Luxembourg	69,028		806 		66,183		2,039	30	108,729	1,270	2,760,597	4,348,349	634,861 	Europe	97880			3,212
104	Afghanistan	63,598	+114	2,745 	+3	54,686	+23	6,167	1,124	1,602	69	430,854	10,855	39,691,394 	Asia	62414,46092	3	0.08	155
105	Singapore	61,585	+49	31 		61,104	+42	450	2	10,455	5	10,441,802	1,772,625	5,890,587 	Asia	96190,0191	8		76
106	Namibia	51,218	+269	718 	+13	48,247	+301	2,253	66	19,844	278	409,887	158,808	2,581,017 	Africa	503,5956	104	5	873
107	Botswana	49,656		761 		46,640		2,255	1	20,751	318	1,089,391	455,243	2,392,987 	Africa	483,1452			942
108	Mongolia	48,642	+541	207 	+2	40,900	+1,336	7,535	103	14,632	62	2,827,220	850,460	3,324,342 	Asia	6816,0601	163	0.6	2,267
109	Jamaica	47,319	+86	860 	+17	23,124	+111	23,335	18	15,919	289	354,313	119,198	2,972,484 	North America	633,4568	29	6	7,850
110	Ivory Coast	46,656	+121	298 	+3	46,079	+73	279		1,731	11	608,960	22,599	26,946,335 	Africa	57890,42444	4	0.1	10
111	Maldives	44,523	+741	97 	+3	28,459	+446	15,967	90	81,121	177	794,211	1,447,061	548,844 	Asia	125,6581	1,350	5	29,092
112	Uganda	42,779	+105	347 		41,971		461	24	910	7	1,059,988	22,556	46,994,167 	Africa	1,099135,43044	2		10
113	Senegal	40,850	+22	1,125 	+1	39,573	+15	152	9	2,385	66	497,971	29,074	17,127,434 	Africa	41915,22434	1	0.06	9
114	Madagascar	40,141	+136	763 	+9	37,823	+150	1,555	290	1,418	27	195,576	6,908	28,309,896 	Africa	70537,103145	5	0.3	55
115	Zimbabwe	38,560	+6	1,582 		36,329	+11	649	12	2,562	105	445,957	29,628	15,051,761 	Africa	3909,51434	0.4		43
116	Sudan	34,272		2,446 		27,949		3,877		766	55	232,965	5,207	44,740,073 	Africa	1,30518,291192			87
117	Malawi	34,214	+4	1,153 		32,210	+4	851	11	1,749	59	239,091	12,224	19,559,677 	Africa	57216,96482	0.2		44
118	Angola	30,637	+283	659 	+4	25,715	+12	4,263	22	908	20	527,590	15,631	33,753,337 	Africa	1,10251,21964	8	0.1	126
119	DRC	30,562	+16	776 		26,603		3,183		332	8	155,288	1,689	91,924,513 	Africa	3,008118,459592	0.2		35
120	Malta	30,480	+2	417 		29,905	+21	158		68,870	942	897,257	2,027,365	442,573 	Europe	151,0610	5		357
121	Australia	29,975	+8	910 		28,900		165	1	1,164	35	17,507,840	679,695	25,758,366 	Australia/Oceania	85928,3061	0.3		6
122	Cabo Verde	28,168	+217	249 	+3	25,023	+340	2,896	23	50,187	444	158,645	282,657	561,264 	Africa	202,2544	387	5	5,160
123	Rwanda	26,141	+42	344 	+1	24,764	+70	1,033	2	1,976	26	1,371,636	103,665	13,231,435 	Africa	50638,46310	3	0.08	78
124	Gabon	23,799		143 		20,379		3,277	15	10,478	63	767,445	337,869	2,271,426 	Africa	9515,8843			1,443
125	Syria	23,738	+45	1,698 	+5	20,780	+297	1,260		1,328	95	103,566	5,795	17,870,439 	Asia	75310,524173	3	0.3	71
126	Guinea	22,746		151 		20,366		2,229	24	1,692	11	445,243	33,122	13,442,322 	Africa	59189,02230			166
127	Réunion	22,644		169 		21,603		872	36	25,135	188	102,720	114,019	900,902 	Africa	405,3319			968
128	Cambodia	22,184	+350	150 	+3	12,120	+1,380	9,914		1,311	9	1,058,549	62,558	16,920,960 	Asia	763112,80616	21	0.2	586
129	French Guiana	21,465		108 		9,995		11,362	28	70,282	354	234,758	768,660	305,412 	South America	142,8281			37,202
130	Mayotte	20,176		171 		2,964		17,041	6	72,435	614	176,919	635,163	278,541 	Africa	141,6292			61,180
131	Mauritania	18,828	+22	457 		18,090	+34	281	14	3,959	96	249,519	52,465	4,755,887 	Africa	25310,40719	5		59
132	French Polynesia	18,815		141 		18,650		24	1	66,642	499	26,355	93,349	282,329 	Australia/Oceania	152,00211			85
133	Eswatini	18,520	+1	672 		17,800	+1	48	3	15,820	574	199,225	170,181	1,170,663 	Africa	631,7426	0.9		41
134	Trinidad and Tobago	16,255	+356	285 	+9	10,208	+143	5,762	15	11,582	203	153,053	109,054	1,403,457 	North America	864,9249	254	6	4,106
135	Guadeloupe	16,017		221 		2,242		13,554	33	40,024	552	195,404	488,285	400,184 	North America	251,8112			33,869
136	Guyana	15,271	+103	341 	+3	12,967	+81	1,963	14	19,333	432	137,081	173,548	789,875 	South America	522,3166	130	4	2,485
137	Somalia	14,486		753 		6,325		7,408		890	46	120,132	7,380	16,278,398 	Africa	1,12421,618136			455
138	Mali	14,190	+14	511 		9,227	+49	4,452		684	25	284,272	13,695	20,757,350 	Africa	1,46340,62173	0.7		214
139	Papua New Guinea	13,707		136 		11,034		2,537		1,507	15	110,286	12,126	9,094,720 	Australia/Oceania	66466,87382			279
140	Andorra	13,510		127 		13,155		228	12	174,609	1,641	193,595	2,502,100	77,373 	Europe	66090			2,947
141	Burkina Faso	13,397	+2	164 		13,199		34		626	8	184,102	8,602	21,401,270 	Africa	1,597130,496116	0.09		2
