Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,610	+11	4,636 		85,658	+6	316	4	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,885310,4679	0.01		0.2
2	USA	32,927,091	+52,046	587,383 	+884	25,521,913	+57,262	6,817,795	9,862	98,999	1,766	442,210,652	1,329,554	332,600,863 	North America	105661	156	3	20,498
3	India	17,988,637	+362,902	201,165 	+3,285	14,807,704	+262,362	2,979,768	8,944	12,931	145	280,979,877	201,975	1,391,160,677 	Asia	776,9165	261	2	2,142
4	Brazil	14,446,541	+76,085	395,324 	+3,120	12,992,442	+113,391	1,058,775	8,318	67,569	1,849	43,538,104	203,637	213,803,022 	South America	155415	356	15	4,952
5	France	5,534,313	+30,317	103,603 	+333	4,442,319	+36,602	988,391	5,943	84,632	1,584	75,122,498	1,148,792	65,392,581 	Europe	126311	464	5	15,115
6	Russia	4,779,425	+8,053	108,980 	+392	4,402,678	+8,039	267,767	2,300	32,739	747	128,200,000	878,166	145,986,077 	Europe	311,3401	55	3	1,834
7	Turkey	4,710,582	+43,301	39,057 	+346	4,167,263	+45,592	504,262	3,549	55,363	459	46,435,343	545,752	85,085,055 	Asia	182,1782	509	4	5,927
8	UK	4,409,631	+2,685	127,451 	+17	4,202,311	+4,639	79,869	227	64,677	1,869	152,823,630	2,241,483	68,179,701 	Europe	155350	39	0.2	1,171
9	Italy	3,981,509	+10,401	119,912 	+373	3,413,451	+14,688	448,146	2,748	65,932	1,986	57,574,570	953,404	60,388,450 	Europe	155041	172	6	7,421
10	Spain	3,496,134	+7,665	77,855 	+117	3,186,967	+4,073	231,312	2,331	74,752	1,665	46,199,597	987,810	46,769,716 	Europe	136011	164	3	4,946
11	Germany	3,326,778	+19,009	82,698 	+354	2,931,400	+21,300	312,680	5,049	39,602	984	54,061,332	643,551	84,004,726 	Europe	251,0162	226	4	3,722
12	Argentina	2,905,172	+25,495	62,599 	+512	2,563,223	+21,219	279,350	5,134	63,798	1,375	10,887,878	239,100	45,536,872 	South America	167274	560	11	6,135
13	Colombia	2,804,881	+17,578	72,235 	+436	2,616,821	+14,332	115,825	6,006	54,645	1,407	14,541,843	283,308	51,328,712 	South America	187114	342	8	2,257
14	Poland	2,768,032	+5,707	65,897 	+460	2,467,036	+12,031	235,099	3,041	73,204	1,743	14,122,423	373,487	37,812,404 	Europe	145743	151	12	6,218
15	Iran	2,438,193	+20,963	70,532 	+462	1,907,190	+14,961	460,471	5,287	28,727	831	15,435,147	181,855	84,875,998 	Asia	351,2035	247	5	5,425
16	Mexico	2,329,534	+1,143	215,113 	+166	1,853,789	+3,109	260,632	4,798	17,913	1,654	6,544,421	50,324	130,046,351 	North America	5660520	9	1	2,004
17	Ukraine	2,038,248	+7,915	42,950 	+432	1,596,829	+17,391	398,469	177	46,838	987	9,292,051	213,529	43,516,623 	Europe	211,0135	182	10	9,157
18	Peru	1,775,062	+6,876	60,416 	+403	1,688,091		26,555	2,642	53,227	1,812	10,964,758	328,789	33,348,960 	South America	195523	206	12	796
19	Indonesia	1,651,794	+4,656	44,939 	+168	1,506,599	+4,884	100,256		5,987	163	14,414,113	52,244	275,901,271 	Asia	1676,13919	17	0.6	363
20	Czechia	1,622,804	+2,575	29,119  	+47	1,542,058	+207	51,627	685	151,305	2,715	17,388,713	1,621,271	10,725,361 	Europe	73681	240	4	4,814
21	South Africa	1,577,200	+880	54,237 	+51	1,502,986	+1,106	19,977	546	26,320	905	10,567,593	176,353	59,922,940 	Africa	381,1056	15	0.9	333
22	Netherlands	1,472,674	+5,337	17,093 	+31	1,235,375	+7,417	220,206	814	85,790	996	12,274,847	715,062	17,166,127 	Europe	121,0041	311	2	12,828
23	Canada	1,194,989	+7,071	24,065 	+41	1,086,611	+7,896	84,313	1,355	31,435	633	31,064,387	817,175	38,014,360 	North America	321,5801	186	1	2,218
24	Chile	1,179,772	+4,158	26,020 	+45	1,113,463	+6,601	40,289	3,406	61,283	1,352	12,884,978	669,308	19,251,189 	South America	167401	216	2	2,093
25	Romania	1,049,539	+2,019	27,683 	+172	979,445	+3,742	42,411	1,336	54,859	1,447	8,154,764	426,246	19,131,613 	Europe	186912	106	9	2,217
26	Iraq	1,045,010	+7,152	15,348 	+45	920,523	+7,312	109,139	539	25,512	375	9,198,959	224,578	40,961,122 	Asia	392,6694	175	1	2,664
27	Philippines	1,013,600	+7,186	16,916 	+63	924,956	+10,038	71,728	750	9,150	153	11,584,435	104,573	110,778,843 	Asia	1096,54910	65	0.6	647
28	Belgium	976,088	+1,670	24,065 	+41	842,039	+5,298	109,984	886	83,920	2,069	12,312,900	1,058,612	11,631,175 	Europe	124831	144	4	9,456
29	Sweden	960,520	+7,266	13,968 	+1	779,504	+7,168	167,048	392	94,622	1,376	8,482,276	835,601	10,151,111 	Europe	117271	716	0.10	16,456
30	Israel	838,217	+110	6,359 	+6	830,205	+117	1,653	138	91,134	691	14,129,277	1,536,193	9,197,590 	Asia	111,4461	12	0.7	180
31	Portugal	834,991	+353	16,970 	+5	794,205	+1,194	23,816	86	82,086	1,668	10,348,599	1,017,345	10,172,161 	Europe	125991	35	0.5	2,341
32	Pakistan	804,939	+4,487	17,329 	+142	699,816	+5,770	87,794	5,075	3,587	77	11,632,913	51,839	224,406,500 	Asia	27912,95019	20	0.6	391
33	Hungary	772,707	+1,253	26,984 	+183	491,620	+5,185	254,103	753	80,155	2,799	5,308,624	550,681	9,640,100 	Europe	123572	130	19	26,359
34	Bangladesh	751,659	+3,031	11,228 	+78	666,927	+5,234	73,504		4,527	68	5,395,524	32,496	166,038,470 	Asia	22114,78831	18	0.5	443
35	Jordan	706,355	+1,815	8,707 	+47	675,212	+4,085	22,436	729	68,669	846	6,649,640	646,448	10,286,420 	Asia	151,1812	176	5	2,181
36	Serbia	683,799	+2,145	6,286 	+29	626,756	+3,595	50,757	171	78,523	722	3,800,708	436,447	8,708,302 	Europe	131,3852	246	3	5,829
37	Switzerland	653,957	+2,135	10,597 	+13	581,714		61,646	237	75,110	1,217	6,818,583	783,141	8,706,711 	Europe	138221	245	1	7,080
38	Austria	612,170	+1,625	10,126 	+28	577,977	+2,760	24,067	520	67,653	1,119	31,263,052	3,454,972	9,048,714 	Europe	158940	180	3	2,660
39	Japan	571,040	+3,319	10,004 	+32	508,388	+3,653	52,648	916	4,526	79	11,550,594	91,557	126,156,759 	Asia	22112,61111	26	0.3	417
40	Lebanon	522,763	+1,182	7,197 	+26	453,865	+2,698	61,701	665	76,875	1,058	3,953,121	581,325	6,800,196 	Asia	139452	174	4	9,073
41	UAE	514,591	+2,094	1,578 	+5	495,589	+1,900	17,424		51,518	158	43,461,963	4,351,164	9,988,582 	Asia	196,3300	210	0.5	1,744
42	Morocco	509,972	+507	9,005 	+6	496,031	+623	4,936	201	13,683	242	6,234,597	167,282	37,270,037 	Africa	734,1396	14	0.2	132
