Country,Total_Cases,New_Cases,Total_Deaths,New_Deaths,Total_Recovered,New_Recovered,Active_Cases,Serious_Critical,Tot_Cases/1M_pop,Deaths/1M_pop,Total_Tests,Tests/1M_pop,Population,Region
Seychelles,4633,189,25,0.0,4310,149.0,298,0.0,46881,253.0,21504,217597,98825,Africa
Channel Islands,4053,2,86,0.0,3956,0.0,11,1.0,23144,491.0,399901,2283583,175120,Europe
Sierra Leone,4009,1,79,0.0,2832,1.0,1098,0.0,495,10.0,118332,14602,8103627,Africa
Barbados,3740,6,44,0.0,3623,10.0,73,0.0,13002,153.0,146575,509557,287652,North America
Guinea-Bissau,3693,13,66,0.0,3083,14.0,544,9.0,1843,33.0,60565,30218,2004263,Africa
Eritrea,3469,3,10,0.0,3231,35.0,228,0.0,968,3.0,23693,6609,3584844,Africa
Liechtenstein,2768,14,56,0.0,2634,9.0,78,5.0,72434,1465.0,32252,843984,38214,Europe
New Zealand,2587,4,26,0.0,2459,2.0,102,0.0,517,5.0,1948223,389481,5002100,Australia/Oceania
Monaco,2378,1,31,0.0,2260,13.0,87,6.0,60264,786.0,51953,1316599,39460,Europe
Turks and Caicos,2360,3,17,0.0,2285,2.0,58,2.0,60316,434.0,41426,1058757,39127,North America
Sao Tome and Principe,2268,1,35,0.0,2192,4.0,41,0.0,10201,157.0,12597,56657,222339,Africa
Sint Maarten,2188,3,27,0.0,2124,6.0,37,1.0,50581,624.0,25304,584969,43257,North America
Bermuda,1912,21,16,0.0,1037,39.0,859,41.0,30791,258.0,218967,3526209,62097,North America
Caribbean Netherlands,1526,7,14,0.0,1416,20.0,96,0.0,57772,530.0,10011,379004,26414,North America
Antigua and Barbuda,1201,3,31,1.0,947,9.0,223,45.0,12185,315.0,16493,167331,98565,North America
Timor-Leste,1086,40,2,1.0,550,0.0,534,0.0,812,1.0,50556,37783,1338060,Asia
Taiwan,1062,4,11,0.0,1027,1.0,24,0.0,45,0.5,513203,21517,23850673,Asia
Cayman Islands,523,7,2,0.0,498,11.0,23,0.0,7885,30.0,85460,1288465,66327,North America
