Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,520	+10	4,636 		85,573	+14	311	5	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,901310,4679
2	USA	32,536,470	+60,317	582,456 	+883	25,105,535	+62,072	6,848,479	10,048	97,837	1,751	431,941,723	1,298,844	332,558,517 	North America	105711
3	India	15,609,004	+294,290	182,570 	+2,020	13,269,863	+166,643	2,156,571	8,944	11,223	131	269,414,035	193,703	1,390,864,355 	Asia	897,6185
4	Brazil	14,050,885	+73,172	378,530 	+3,481	12,561,689	+100,977	1,110,666	8,318	65,729	1,771	28,600,000	133,789	213,770,046 	South America	155657
5	France	5,339,920	+43,098	101,597 	+375	4,181,381	+30,092	1,056,942	5,984	81,663	1,554	72,873,077	1,114,447	65,389,433 	Europe	126441
6	Russia	4,718,854	+8,164	106,307 	+379	4,343,229	+9,631	269,318	2,300	32,324	728	126,200,000	864,474	145,984,714 	Europe	311,3731
7	UK	4,393,307	+2,524	127,307 	+33	4,161,433	+5,298	104,567	318	64,445	1,867	145,197,408	2,129,871	68,171,922 	Europe	165350
8	Turkey	4,384,624	+61,028	36,613 	+346	3,792,129	+55,592	555,882	3,375	51,544	430	44,409,756	522,067	85,065,229 	Asia	192,3232
9	Italy	3,891,063	+12,074	117,633 	+390	3,290,715	+22,453	482,715	3,151	64,432	1,948	55,535,217	919,604	60,390,385 	Europe	165131
10	Spain	3,435,840	+7,486	77,216 	+114	3,147,281	+2,928	211,343	2,289	73,464	1,651	44,374,223	948,789	46,769,321 	Europe	146061
11	Germany	3,180,810	+16,363	81,086 	+312	2,803,600	+16,400	296,124	4,932	37,867	965	52,737,238	627,833	83,998,886 	Europe	261,0362
12	Argentina	2,743,620	+29,145	59,792 	+316	2,407,853	+21,470	275,975	4,366	60,263	1,313	10,320,622	226,688	45,527,815 	South America	177614
13	Poland	2,704,571	+9,246	62,734 	+601	2,354,652	+19,674	287,185	3,287	71,524	1,659	13,503,602	357,112	37,813,307 	Europe	146033
14	Colombia	2,684,101	+16,965	69,177 	+429	2,505,738	+17,492	109,186	5,306	52,304	1,348	13,978,773	272,401	51,316,864 	South America	197424
15	Mexico	2,306,910	+1,308	212,466 	+127	1,833,132	+3,652	261,312	4,798	17,743	1,634	6,412,677	49,322	130,016,760 	North America	5661220
16	Iran	2,286,927	+25,492	67,525 	+395	1,810,531	+13,212	408,871	4,911	26,952	796	14,613,010	172,217	84,852,500 	Asia	371,2576
17	Ukraine	1,961,956	+8,940	40,367 	+367	1,499,752	+12,075	421,837	177	45,079	928	8,958,482	205,836	43,522,336 	Europe	221,0785
18	Peru	1,719,088	+11,301	57,954 	+417	1,645,100	+8,814	16,034	2,580	51,564	1,738	10,524,419	315,680	33,338,918 	South America	195753
19	Indonesia	1,614,849	+5,549	43,777 	+210	1,468,142	+6,728	102,930		5,854	159	13,891,160	50,360	275,838,089 	Asia	1716,30120
20	Czechia	1,606,030	+3,301	28,640 	+36	1,515,106	+153	62,284	888	149,747	2,670	15,989,327	1,490,856	10,724,928 	Europe	73741
21	South Africa	1,568,366	+853	53,887 	+130	1,494,630	+3,754	19,849	546	26,180	900	10,379,089	173,255	59,906,596 	Africa	381,1126
22	Netherlands	1,417,772	+6,822	16,965 	+27	1,184,607	+6,943	216,200	821	82,595	988	11,781,337	686,346	17,165,301 	Europe	121,0121
23	Canada	1,139,043	+7,270	23,713 	+46	1,027,458	+7,679	87,872	1,167	29,969	624	30,168,562	793,761	38,007,134 	North America	331,6031
24	Chile	1,136,435	+5,095	25,317 	+40	1,067,662	+6,836	43,456	3,372	59,043	1,315	12,472,168	647,985	19,247,606 	South America	177602
25	Romania	1,034,003	+2,931	26,618 	+237	950,242	+5,468	57,143	1,432	54,039	1,391	7,950,663	415,517	19,134,403 	Europe	197192
26	Iraq	993,158	+8,208	15,060 	+34	870,927	+6,888	107,171	486	24,258	368	8,891,116	217,167	40,941,346 	Asia	412,7195
27	Philippines	953,106	+7,379	16,141 	+93	809,959	+21,664	127,006	750	8,606	146	11,242,391	101,514	110,746,960 	Asia	1166,86110
28	Belgium	951,626	+1,630	23,782 	+35	804,194		123,650	931	81,825	2,045	12,004,992	1,032,237	11,630,075 	Europe	124891
29	Sweden	916,830		13,825 	+36	741,752	+1,578	161,253	416	90,330	1,362	8,151,774	803,151	10,149,737 	Europe	117341
30	Israel	837,357	+139	6,345 	+4	828,902	+216	2,110	175	91,041	690	14,014,683	1,523,734	9,197,590 	Asia	111,4501
31	Portugal	831,645	+424	16,951 	+5	790,118	+902	24,576	113	81,752	1,666	9,851,332	968,398	10,172,808 	Europe	126001
32	Pakistan	766,882	+5,445	16,453 	+137	667,131	+4,286	83,298	4,494	3,419	73	11,272,531	50,254	224,312,593 	Asia	29213,63420
