Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
42	UAE	493,266	+1,843	1,547 	+2	476,518	+1,506	15,201		49,402	155	41,349,068	4,141,257	9,984,665 	Asia	206,4540
43	Saudi Arabia	403,106	+964	6,801 	+10	387,020	+918	9,285	1,034	11,439	193	16,072,606	456,077	35,240,955 	Asia	875,1822
44	Bulgaria	384,887	+2,126	15,100 	+121	304,033	+3,642	65,754	801	55,725	2,186	2,349,606	340,182	6,906,904 	Europe	184573
45	Slovakia	374,586	+636	10,970 	+93	255,300		108,316	452	68,584	2,009	2,473,314	452,844	5,461,737 	Europe	154982
46	Malaysia	370,528	+2,551	1,365 	+2	350,563	+1,524	18,600	227	11,334	42	8,472,685	259,159	32,693,019 	Asia	8823,9514
47	Panama	360,249	+419	6,185 	+2	350,134	+416	3,930	105	82,470	1,416	2,283,594	522,769	4,368,267 	North America	127062
48	Ecuador	355,964	+533	17,528 	+39	298,604		39,832	631	19,937	982	1,218,869	68,268	17,854,124 	South America	501,01915
49	Belarus	341,539	+1,516	2,403 	+10	331,972	+1,489	7,164		36,154	254	5,627,834	595,736	9,446,860 	Europe	283,9312
50	Greece	311,033	+3,027	9,330 	+91	266,175	+1,851	35,528	824	29,957	899	7,379,458	710,749	10,382,653 	Europe	331,1131
51	Croatia	303,598	+2,698	6,486 	+44	281,059	+1,908	16,053	186	74,317	1,588	1,683,651	412,137	4,085,169 	Europe	136302
52	Azerbaijan	296,374	+2,163	4,077 	+32	260,193	+2,251	32,104		29,024	399	3,082,157	301,836	10,211,352 	Asia	342,5053
53	Georgia	293,321	+1,077	3,916 	+8	279,831	+442	9,574		73,641	983	3,822,921	959,786	3,983,096 	Asia	141,0171
54	Bolivia	286,114	+823	12,603 	+84	235,495	+899	38,016	71	24,250	1,068	1,027,781	87,111	11,798,547 	South America	4193611
55	Nepal	282,890	+836	3,070 	+4	274,812	+208	5,008		9,574	104	2,335,084	79,024	29,549,209 	Asia	1049,62513
56	Tunisia	281,777	+2,401	9,639 	+86	232,643	+1,358	39,495	457	23,646	809	1,215,518	102,005	11,916,231 	Africa	421,23610
57	Kazakhstan	281,351	+2,656	3,333 	+27	241,625	+2,177	36,393	221	14,844	176	9,464,077	499,321	18,953,882 	Asia	675,6872
58	Palestine	278,135	+1,728	2,955 	+18	243,522	+2,179	31,658	172	53,544	569	1,670,034	321,499	5,194,531 	Asia	191,7583
59	Dominican Republic	260,133	+494	3,410 	+5	218,010	+397	38,713	152	23,792	312	1,363,804	124,733	10,933,789 	North America	423,2068
60	Kuwait	254,472	+1,406	1,436 	+8	237,667	+1,283	15,369	247	58,901	332	2,205,047	510,388	4,320,337 	Asia	173,0092
61	Moldova	244,866	+689	5,521 	+28	228,766	+1,197	10,579	282	60,813	1,371	927,765	230,413	4,026,529 	Europe	167294
62	Paraguay	244,528		5,110 		200,259		39,159	504	33,954	710	1,001,158	139,018	7,201,644 	South America	291,4097
63	Ireland	242,819	+417	4,831 	+11	223,395	+544	14,593	53	48,746	970	4,256,930	854,580	4,981,310 	Europe	211,0311
64	Denmark	241,007	+677	2,452 	+3	230,084	+712	8,471	36	41,493	422	31,227,788	5,376,368	5,808,343 	Europe	242,3690
65	Ethiopia	238,527	+1,973	3,300 	+15	177,629	+1,750	57,598	1,013	2,035	28	2,485,951	21,212	117,198,144 	Africa	49135,51547
66	Lithuania	231,601	+1,088	3,739 	+7	209,538	+648	18,324	167	86,031	1,389	2,572,328	955,523	2,692,064 	Europe	127201
67	Slovenia	230,826	+860	4,147 	+5	213,980	+1,165	12,699	154	111,019	1,995	1,123,769	540,491	2,079,164 	Europe	95012
68	Costa Rica	228,577	+1,044	3,071 	+6	196,974	+222	28,532	236	44,550	599	895,974	174,625	5,130,854 	North America	221,6716
69	Egypt	214,639	+841	12,653 	+42	162,170	+700	39,816	90	2,067	122	2,677,262	25,779	103,852,749 	Africa	4848,20839
70	Guatemala	210,667	+1,973	7,160 	+40	189,536	+841	13,971	5	11,590	394	1,152,524	63,408	18,176,311 	North America	862,53916
71	Armenia	207,103	+961	3,835 	+18	186,200	+1,075	17,068		69,787	1,292	926,293	312,132	2,967,628 	Asia	147743
72	Honduras	198,975	+761	4,929 	+24	76,214	+84	117,832	576	19,841	491	553,262	55,168	10,028,680 	North America	502,03518
73	Qatar	194,930	+978	367 	+10	172,598	+613	21,965	481	69,424	131	1,830,688	652,000	2,807,805 	Asia	147,6512
74	Bosnia and Herzegovina	188,994	+1,279	7,788 	+86	145,863	+931	35,343		57,892	2,386	862,452	264,182	3,264,618 	Europe	174194
75	Venezuela	180,609	+1,244	1,870 	+17	162,936	+1,116	15,803	263	6,366	66	3,359,014	118,392	28,372,047 	South America	15715,1728
76	Oman	176,668		1,821 		156,845		18,002	267	33,919	350	1,550,000	297,590	5,208,510 	Asia	292,8603
77	Libya	171,131	+573	2,882 	+9	156,344	+632	11,905		24,641	415	926,632	133,425	6,944,953 	Africa	412,4107
78	Nigeria	164,147	+67	2,061 		154,304	+19	7,782	11	781	10	1,838,174	8,747	210,148,740 	Africa	1,280101,964114
79	Bahrain	162,089	+1,155	581 	+7	150,179	+1,020	11,329	86	92,740	332	3,869,936	2,214,192	1,747,787 	Asia	113,0080
80	Uruguay	159,569	+3,070	1,788 	+62	126,119	+3,482	31,662	516	45,810	513	1,607,709	461,553	3,483,257 	South America	221,9482
81	Kenya	150,260	+1,041	2,443 	+19	99,580		48,237	260	2,747	45	1,592,484	29,112	54,701,802 	Africa	36422,39134
82	North Macedonia	145,909	+908	4,388 	+31	121,439	+732	20,082	124	70,037	2,106	684,888	328,751	2,083,306 	Europe	144753
83	Myanmar	142,617	+7	3,206 		131,884	+5	7,527		2,607	59	2,557,724	46,761	54,698,114 	Asia	38417,06121
84	Albania	129,307	+179	2,337 	+2	100,600	+587	26,370	18	44,972	813	598,044	207,993	2,875,307 	Europe	221,2305
85	Algeria	119,323	+181	3,148 	+4	83,169	+121	33,006	16	2,683	71	230,861	5,191	44,474,156 	Africa	37314,128193
86	Estonia	116,678	+478	1,070 	+6	100,176	+1,080	15,432	61	87,910	806	1,219,466	918,797	1,327,242 	Europe	111,2401
87	S. Korea	112,789	+672	1,790 	+2	103,062	+549	7,937	111	2,198	35	8,333,332	162,430	51,304,133 	Asia	45528,6626
88	Latvia	110,343	+612	2,042 	+12	101,088		7,213	94	59,019	1,092	2,102,496	1,124,559	1,869,618 	Europe	179161
89	Norway	106,727	+825	708 	+1	88,952		17,067	53	19,566	130	4,967,185	910,619	5,454,734 	Europe	517,7041
90	Sri Lanka	96,186	+237	615 	+7	92,611	+303	2,960		4,477	29	2,374,627	110,529	21,484,281 	Asia	22334,9349
91	Montenegro	95,205	+163	1,421 	+9	90,295	+330	3,489	69	151,569	2,262	358,381	570,553	628,129 	Europe	74422
92	Ghana	91,545		766 		89,400		1,379	8	2,899	24	1,039,284	32,907	31,582,748 	Africa	34541,23130
93	Cuba	91,448	+1,040	500 	+9	86,142	+1,021	4,806	73	8,078	44	3,320,626	293,312	11,321,137 	North America	12422,6423
94	Kyrgyzstan	91,374	+230	1,544 	+4	86,621	+130	3,209	25	13,826	234	923,177	139,686	6,608,953 	Asia	724,2807
95	Zambia	90,750	+218	1,233 	+3	88,414	+131	1,103	55	4,830	66	1,335,176	71,068	18,787,404 	Africa	20715,23714
96	Uzbekistan	86,022	+292	635 	+1	83,649	+187	1,738	23	2,541	19	1,377,915	40,705	33,851,463 	Asia	39453,30925
97	Finland	83,633	+380	887 	+2	46,000		36,746	34	15,076	160	4,242,720	764,794	5,547,536 	Europe	666,2541
98	Mozambique	69,067	+65	797 	+3	61,188	+76	7,082	68	2,162	25	501,859	15,712	31,941,618 	Africa	46240,07764
99	El Salvador	67,249	+150	2,068 	+8	63,560	+89	1,621	59	10,327	318	883,790	135,715	6,512,090 	North America	973,1497
100	Luxembourg	64,746	+197	785 		60,627	+64	3,334	30	102,123	1,238	2,548,684	4,020,019	633,998 	Europe	108080
101	Cameroon	61,731		919 		56,926		3,886	385	2,281	34	1,257,949	46,480	27,064,355 	Africa	43829,45022
102	Singapore	60,769	+34	30 		60,446	+29	293	2	10,323	5	9,036,706	1,535,107	5,886,695 	Asia	97196,2231
103	Afghanistan	57,721	+109	2,539 	+4	52,105	+22	3,077	1,124	1,457	64	379,923	9,590	39,616,956 	Asia	68615,603104
104	Cyprus	54,621	+677	284 	+1	39,061		15,276	63	44,981	234	4,222,931	3,477,653	1,214,305 	Asia	224,2760
105	Namibia	46,330	+145	599 	+3	44,392	+70	1,339	27	17,977	232	368,930	143,156	2,577,115 	Africa	564,3027
106	Ivory Coast	45,474	+30	274 	+1	44,993	+68	207		1,691	10	557,294	20,724	26,890,842 	Africa	59198,14248
