Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,499	+16	4,636 		85,549	+11	314	5	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,904310,4679
2	USA	32,404,454	+43,174	581,061 	+310	24,961,229	+51,459	6,862,164	9,814	97,443	1,747	429,220,694	1,290,703	332,547,930 	North America	105721
3	India	15,057,767	+275,306	178,793 	+1,625	12,948,848	+143,754	1,930,126	8,944	10,827	129	266,538,416	191,645	1,390,790,274 	Asia	927,7795
4	Brazil	13,943,071	+42,937	373,442 	+1,553	12,391,599	+46,738	1,178,030	8,318	65,227	1,747	28,600,000	133,794	213,761,802 	South America	155727
5	France	5,289,526	+29,344	100,733 	+140	4,116,084	+34,881	1,072,709	5,893	80,894	1,541	72,191,601	1,104,039	65,388,646 	Europe	126491
6	Russia	4,702,101	+8,632	105,582 	+389	4,326,780	+7,391	269,739	2,300	32,210	723	125,400,000	858,996	145,984,373 	Europe	311,3831
7	UK	4,387,820	+1,882	127,270 	+10	4,150,568	+4,758	109,982	332	64,366	1,867	140,944,028	2,067,538	68,169,978 	Europe	165360
8	Turkey	4,268,447	+55,802	35,926 	+318	3,687,590	+43,856	544,931	3,275	50,181	422	43,768,759	514,562	85,060,273 	Asia	202,3682
9	Italy	3,870,131	+12,694	116,927 	+251	3,248,593	+13,134	504,611	3,311	64,085	1,936	55,094,444	912,298	60,390,869 	Europe	165161
10	Spain	3,407,283		76,981 		3,129,234		201,068	2,180	72,853	1,646	44,285,495	946,894	46,769,223 	Europe	146081
11	Germany	3,151,030	+13,123	80,591 	+65	2,775,200	+10,100	295,239	4,740	37,513	959	52,737,238	627,844	83,997,426 	Europe	271,0422
12	Argentina	2,694,014	+16,267	59,228 	+64	2,364,171	+20,363	270,615	4,105	59,176	1,301	10,154,530	223,051	45,525,551 	South America	177694
13	Poland	2,688,025	+12,153	62,032 	+207	2,311,145	+25,924	314,848	3,359	71,086	1,640	13,503,602	357,110	37,813,532 	Europe	146103
14	Colombia	2,652,947	+16,871	68,328 	+397	2,471,498	+13,610	113,121	4,299	51,700	1,332	13,844,971	269,809	51,313,902 	South America	197514
15	Mexico	2,304,096	+4,157	212,228 	+535	1,826,646	+2,914	265,222	4,798	17,723	1,632	6,400,316	49,230	130,009,363 	North America	5661320
16	Iran	2,237,089	+21,644	66,732 	+405	1,785,358	+12,670	384,999	4,766	26,366	787	14,386,423	169,558	84,846,625 	Asia	381,2716
17	Ukraine	1,946,510	+10,282	39,786 	+250	1,482,079	+6,523	424,645	177	44,723	914	8,915,393	204,840	43,523,764 	Europe	221,0945
18	Peru	1,704,757	+7,131	57,230 	+433	1,627,969	+8,289	19,558	2,636	51,138	1,717	10,435,441	313,034	33,336,408 	South America	205823
19	Indonesia	1,604,348	+4,585	43,424 	+96	1,455,065	+4,873	105,859		5,817	157	13,836,432	50,164	275,822,293 	Asia	1726,35220
20	Czechia	1,601,881	+1,534	28,426 	+13	1,495,624	+28	77,831	938	149,362	2,650	15,590,376	1,453,673	10,724,820 	Europe	73771
21	South Africa	1,566,769	+1,089	53,736 	+25	1,490,143	+686	22,890	546	26,155	897	10,337,066	172,565	59,902,511 	Africa	381,1156
22	Netherlands	1,403,833	+8,505	16,916 	+12	1,170,083	+7,344	216,834	796	81,784	985	11,292,587	657,881	17,165,094 	Europe	121,0152
23	Chile	1,124,718	+7,370	25,177 	+122	1,053,635	+7,828	45,906	3,308	58,437	1,308	12,278,835	637,971	19,246,710 	South America	177642
24	Canada	1,121,498	+7,591	23,623 	+32	1,009,950	+6,397	87,925	1,167	29,509	622	29,907,670	786,934	38,005,328 	North America	341,6091
25	Romania	1,029,304	+2,265	26,232 	+160	940,792	+4,277	62,280	1,475	53,791	1,371	7,902,628	412,991	19,135,100 	Europe	197292
26	Iraq	977,175	+6,188	14,981 	+33	856,532	+6,814	105,662	526	23,871	366	8,805,486	215,102	40,936,402 	Asia	422,7335
27	Belgium	947,000	+3,787	23,718 	+37	799,120	+4,614	124,162	923	81,429	2,039	11,950,159	1,027,546	11,629,800 	Europe	124901
28	Philippines	936,133	+10,098	15,960 	+150	779,084	+72,607	141,089	750	8,454	144	11,153,268	100,717	110,738,989 	Asia	1186,93910
29	Sweden	900,138		13,788 		730,387	+5,739	155,963	391	88,689	1,359	7,847,033	773,153	10,149,393 	Europe	117361
30	Israel	837,047	+165	6,335 	+4	828,488	+524	2,224	196	91,007	689	13,940,203	1,515,636	9,197,590 	Asia	111,4521
31	Portugal	831,001	+441	16,945 	+3	788,669	+395	25,387	109	81,687	1,666	9,690,372	952,561	10,172,969 	Europe	126001
32	Pakistan	756,285	+6,127	16,243 	+149	659,483	+4,527	80,559	4,446	3,372	72	11,144,367	49,688	224,289,117 	Asia	29713,80820
33	Hungary	750,508	+3,706	25,184 	+205	455,029	+4,238	270,295	1,051	77,847	2,612	5,124,731	531,569	9,640,767 	Europe	133832
34	Bangladesh	718,950	+3,698	10,385 	+102	614,936	+6,121	93,629		4,331	63	5,170,067	31,146	165,993,675 	Asia	23115,98432
35	Jordan	685,973	+2,507	8,246 	+68	638,481	+6,537	39,246	729	66,705	802	6,477,564	629,889	10,283,654 	Asia	151,2472
36	Serbia	662,368	+2,069	5,991 	+37	589,535	+5,437	66,842	218	76,053	688	3,683,511	422,942	8,709,259 	Europe	131,4542
37	Switzerland	632,399		10,508 	+3	568,416		53,475	235	72,648	1,207	6,538,153	751,082	8,704,984 	Europe	148281
38	Austria	593,423	+2,076	9,898 	+28	555,218	+2,599	28,307	546	65,591	1,094	28,823,897	3,185,907	9,047,312 	Europe	159140
39	Japan	529,829	+4,611	9,622 	+38	480,793	+2,415	39,414	723	4,199	76	10,886,748	86,288	126,167,291 	Asia	23813,11212
40	Lebanon	510,403	+1,900	6,925 	+39	423,848		79,630	735	75,048	1,018	3,814,173	560,823	6,801,027 	Asia	139822
41	Morocco	505,811	+364	8,945 	+1	491,810	+273	5,056	235	13,576	240	6,163,347	165,423	37,258,087 	Africa	744,1656
