Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,671	+16	4,636 		85,710	+19	325	3	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,874310,4679	0.01		0.2
2	USA	33,149,740	+45,765	590,750 	+707	25,786,609	+76,467	6,772,381	9,535	99,662	1,776	447,965,624	1,346,771	332,622,037 	North America	105631	138	2	20,361
3	India	19,549,656	+392,562	215,523 	+3,688	15,981,772	+308,769	3,352,361	8,944	14,051	155	288,337,385	207,242	1,391,308,838 	Asia	716,4565	282	3	2,410
4	Brazil	14,725,975	+60,013	406,565 	+2,278	13,242,665	+48,127	1,076,745	8,318	68,871	1,901	43,818,216	204,931	213,819,510 	South America	155265	281	11	5,036
5	France	5,642,359	+25,670	104,706 	+192	4,590,568	+50,383	947,085	5,581	86,282	1,601	76,301,950	1,166,801	65,394,155 	Europe	126251	393	3	14,483
6	Turkey	4,849,408	+28,817	40,504 	+373	4,405,199	+81,302	403,705	3,525	56,988	476	47,504,193	558,249	85,094,968 	Asia	182,1012	339	4	4,744
7	Russia	4,814,558	+9,270	110,520 	+392	4,436,583	+8,637	267,455	2,300	32,979	757	129,500,000	887,067	145,986,759 	Europe	301,3211	63	3	1,832
8	UK	4,418,530	+1,907	127,524 	+7	4,218,172	+3,381	72,834	185	64,803	1,870	156,302,824	2,292,382	68,183,590 	Europe	155350	28	0.1	1,068
9	Italy	4,035,614	+12,962	121,033 	+226	3,484,042	+18,366	430,539	2,522	66,829	2,004	58,957,954	976,327	60,387,482 	Europe	154991	215	4	7,130
10	Spain	3,524,077		78,216 		3,206,273		239,588	2,308	75,349	1,672	46,199,597	987,806	46,769,913 	Europe	135981			5,123
11	Germany	3,412,373	+20,141	83,702 	+160	3,012,100	+16,900	316,571	5,049	40,620	996	55,490,413	660,540	84,007,647 	Europe	251,0042	240	2	3,768
12	Argentina	2,993,865	+16,502	64,096 	+231	2,655,359	+21,053	274,410	5,370	65,739	1,407	11,209,847	246,146	45,541,400 	South America	157114	362	5	6,026
13	Colombia	2,877,746	+18,022	74,215 	+495	2,686,399	+17,091	117,132	6,006	56,059	1,446	14,888,382	290,026	51,334,635 	South America	186923	351	10	2,282
14	Poland	2,798,621	+6,473	67,924 	+423	2,510,858	+14,048	219,839	2,723	74,014	1,796	14,321,250	378,749	37,811,953 	Europe	145573	171	11	5,814
15	Iran	2,516,157	+17,080	72,090 	+332	1,971,064	+16,743	473,003	5,421	29,641	849	15,961,178	188,027	84,887,747 	Asia	341,1785	201	4	5,572
16	Mexico	2,344,755	+3,821	216,907 	+460	1,864,914	+3,053	262,934	4,798	18,028	1,668	6,632,938	50,999	130,061,146 	North America	5560020	29	4	2,022
17	Ukraine	2,078,086	+8,549	44,436 	+351	1,670,481	+14,956	363,169	177	47,757	1,021	9,456,234	217,316	43,513,767 	Europe	219795	196	8	8,346
18	Peru	1,804,915	+5,470	61,789 	+312	1,688,091		55,035	2,667	54,114	1,853	11,225,924	336,569	33,353,981 	South America	185403	164	9	1,650
19	Indonesia	1,672,880	+4,512	45,652 	+131	1,526,978	+4,344	100,250		6,063	165	14,703,659	53,287	275,932,862 	Asia	1656,04419	16	0.5	363
20	Czechia	1,632,944	+2,168	29,332 	+32	1,562,216	+167	41,396	527	152,248	2,735	18,347,631	1,710,643	10,725,578 	Europe	73661	202	3	3,860
21	South Africa	1,582,842	+1,632	54,406 	+56	1,506,732	+1,112	21,704	546	26,411	908	10,682,827	178,252	59,931,112 	Africa	381,1026	27	0.9	362
22	Netherlands	1,502,107	+5,755	17,169 	+21	1,263,295	+7,805	221,643	792	87,502	1,000	12,274,847	715,045	17,166,540 	Europe	111,0001	335	1	12,911
23	Canada	1,227,035	+7,610	24,261 	+42	1,119,279	+7,392	83,495	1,422	32,275	638	31,629,802	831,970	38,017,972 	North America	311,5671	200	1	2,196
24	Chile	1,204,755	+6,510	26,457 	+104	1,136,816	+7,469	41,482	3,336	62,575	1,374	13,115,985	681,244	19,252,980 	South America	167281	338	5	2,155
25	Iraq	1,070,366	+5,167	15,498 	+33	949,341	+7,295	105,527	571	26,125	378	9,376,388	228,854	40,971,011 	Asia	382,6444	126	0.8	2,576
26	Romania	1,056,572	+1,307	28,194 	+85	992,605	+3,212	35,773	1,277	55,231	1,474	8,273,925	432,506	19,130,218 	Europe	186792	68	4	1,870
27	Philippines	1,046,637	+9,210	17,354 	+120	957,008	+10,766	72,275	750	9,447	157	11,854,425	106,994	110,794,784 	Asia	1066,3849	83	1	652
28	Belgium	990,229	+3,607	24,230 	+45	858,268	+9,472	107,731	854	85,132	2,083	12,529,895	1,077,217	11,631,725 	Europe	124801	310	4	9,262
29	Sweden	973,604		14,048 		799,117		160,439	392	95,905	1,384	8,482,276	835,544	10,151,798 	Europe	107231			15,804
30	Israel	838,481		6,363 		830,625		1,493	110	91,163	692	14,200,104	1,543,894	9,197,590 	Asia	111,4451			162
31	Portugal	836,947	+454	16,976 	+2	796,477	+639	23,494	84	82,281	1,669	10,515,374	1,033,773	10,171,837 	Europe	125991	45	0.2	2,310
