Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,435	+9	4,636 		85,506	+11	293	4	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,916310,4679
2	USA	32,070,784	+77,720	577,177 	+819	24,626,410	+65,554	6,867,197	9,540	96,446	1,736	422,126,761	1,269,452	332,526,757 	North America	105761
3	India	13,871,321	+185,248	172,115 	+1,026	12,332,688	+82,248	1,366,518	8,944	9,975	124	259,207,108	186,394	1,390,642,113 	Asia	1008,0805
4	Brazil	13,601,566	+80,157	358,718 	+3,687	12,074,798	+117,730	1,168,050	8,318	63,634	1,678	28,600,000	133,804	213,745,314 	South America	165967
5	France	5,106,329	+39,113	99,480 	+345	3,972,182	+25,998	1,034,667	5,952	78,094	1,521	70,448,755	1,077,411	65,387,072 	Europe	136571
6	Russia	4,657,883	+8,173	103,601 	+338	4,281,776	+9,611	272,506	2,300	31,907	710	124,100,000	850,095	145,983,692 	Europe	311,4091
7	UK	4,375,814	+2,472	127,123 	+23	4,106,779	+6,718	141,912	377	64,193	1,865	137,848,442	2,022,244	68,166,088 	Europe	165360
8	Turkey	3,962,760	+59,187	34,455 	+273	3,424,733	+52,104	503,572	2,951	46,593	405	42,199,485	496,171	85,050,360 	Asia	212,4682
9	Italy	3,793,025	+13,439	115,088 	+476	3,158,725	+18,160	519,212	3,526	62,807	1,906	53,550,491	886,717	60,391,837 	Europe	165251
10	Spain	3,376,548	+6,292	76,625 	+100	3,114,053	+3,027	185,870	2,152	72,196	1,638	44,285,495	946,898	46,769,025 	Europe	146101
11	Germany	3,031,836	+10,772	79,408 	+298	2,700,200	+16,300	252,228	4,662	36,096	945	51,559,277	613,841	83,994,506 	Europe	281,0582
12	Poland	2,599,833	+13,210	59,127 	+645	2,219,655	+21,873	321,051	3,513	68,753	1,564	13,062,929	345,452	37,813,984 	Europe	156403
13	Argentina	2,579,000	+27,001	58,174 	+217	2,262,875	+15,751	257,951	3,836	56,655	1,278	9,743,345	214,041	45,521,023 	South America	187825
14	Colombia	2,569,314	+16,377	66,482 	+326	2,408,624	+12,891	94,208	4,299	50,076	1,296	13,439,422	261,936	51,307,978 	South America	207724
15	Mexico	2,281,840	+1,627	209,702 	+364	1,812,694	+2,773	259,444	4,798	17,553	1,613	6,279,527	48,306	129,994,567 	North America	5762021
16	Iran	2,118,212	+24,760	65,055 	+291	1,729,293	+9,209	323,864	4,481	24,969	767	13,866,887	163,457	84,834,876 	Asia	401,3046
17	Ukraine	1,872,785	+11,680	37,758 	+457	1,430,234	+14,019	404,793	177	43,026	867	8,716,400	200,254	43,526,620 	Europe	231,1535
18	Peru	1,659,707	+6,387	55,489 	+259	1,584,425	+9,183	19,793	2,599	49,794	1,665	10,086,002	302,598	33,331,387 	South America	206013
19	Czechia	1,585,100	+3,871	28,105 	+77	1,482,989	+346	74,006	1,144	147,800	2,621	14,635,011	1,364,620	10,724,603 	Europe	73821
20	Indonesia	1,577,526	+5,702	42,782 	+126	1,426,145	+6,349	108,599		5,720	155	13,510,828	48,989	275,790,702 	Asia	1756,44620
21	South Africa	1,559,960	+847	53,423 	+67	1,485,315	+959	21,222	546	26,045	892	10,181,143	169,985	59,894,339 	Africa	381,1216
22	Netherlands	1,364,025	+6,685	16,820 	+29	1,140,370	+5,943	206,835	782	79,467	980	11,292,587	657,897	17,164,681 	Europe	131,0202
23	Chile	1,088,710	+5,790	24,518 	+35	1,020,925	+8,021	43,267	3,203	56,571	1,274	12,021,128	624,639	19,244,919 	South America	187852
24	Canada	1,078,562	+7,546	23,392 	+36	976,877	+4,352	78,293	928	28,382	616	29,251,338	769,737	38,001,715 	North America	351,6251
25	Romania	1,012,373	+3,883	25,441 	+193	915,464	+5,166	71,468	1,530	52,903	1,329	7,736,296	404,269	19,136,495 	Europe	197522
26	Iraq	941,078	+8,179	14,796 	+39	826,323	+5,791	99,959	477	22,994	362	8,599,946	210,131	40,926,514 	Asia	432,7665
27	Belgium	927,229	+1,753	23,503 	+30	781,818	+3,568	121,908	899	79,732	2,021	11,723,475	1,008,102	11,629,250 	Europe	134951
28	Sweden	885,378	+8,880	13,721 	+4	708,841	+1,004	162,816	391	87,240	1,352	7,847,033	773,205	10,148,706 	Europe	117401
29	Philippines	884,758	+8,546	15,285 	+136	703,885	+322	165,588	750	7,991	138	10,857,391	98,059	110,723,047 	Asia	1257,24410
30	Israel	836,334	+176	6,309 	+5	826,768	+274	3,257	231	90,930	686	13,838,957	1,504,629	9,197,590 	Asia	111,4581
31	Portugal	828,173	+408	16,923 	+5	785,809	+746	25,441	118	81,407	1,663	9,563,681	940,077	10,173,293 	Europe	126011
32	Pakistan	729,920	+4,318	15,619 	+118	638,267	+3,432	76,034	4,198	3,255	70	10,829,994	48,296	224,242,164 	Asia	30714,35721
33	Hungary	728,078	+2,837	23,980 	+272	431,124	+2,050	272,974	1,209	75,519	2,487	4,976,613	516,191	9,641,034 	Europe	134022
34	Bangladesh	697,985	+6,028	9,891 	+69	585,966	+4,853	102,128		4,205	60	5,070,788	30,551	165,975,757 	Asia	23816,78033
35	Jordan	672,090	+2,790	7,937 	+82	610,614	+6,570	53,539	729	65,362	772	6,372,263	619,716	10,282,548 	Asia	151,2962
36	Serbia	648,745	+3,572	5,808 	+35	566,122	+5,188	76,815	247	74,486	667	3,617,179	415,307	8,709,642 	Europe	131,5002
37	Switzerland	625,367	+2,241	10,472 	+6	561,861	+1,567	53,034	214	71,846	1,203	6,437,818	739,614	8,704,294 	Europe	148311
38	Austria	581,263	+2,313	9,748 	+42	541,786	+3,177	29,729	599	64,251	1,078	27,197,861	3,006,367	9,046,752 	Europe	169280
39	Japan	508,802	+2,516	9,425 	+25	468,770	+2,854	30,607	596	4,033	75	10,529,634	83,455	126,171,504 	Asia	24813,38712
40	Morocco	502,961	+684	8,915 	+6	489,288	+656	4,758	246	13,501	239	6,116,735	164,193	37,253,307 	Africa	744,1796
41	Lebanon	499,839	+1,985	6,738  	+35	411,710	+5,615	81,391	844	73,491	991	3,740,454	549,957	6,801,360 	Asia	141,0092
42	UAE	487,697	+2,022	1,537 	+4	471,906	+1,731	14,254		48,848	154	40,669,721	4,073,485	9,984,012 	Asia	206,4960
43	Saudi Arabia	400,228	+951	6,773 	+8	384,635	+608	8,820	962	11,358	192	15,919,088	451,759	35,237,991 	Asia	885,2032
44	Bulgaria	378,059	+2,944	14,746 	+127	293,351	+3,995	69,962	799	54,734	2,135	2,303,963	333,560	6,907,188 	Europe	184683
