Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,547	+6	4,636 		85,608	+8	303	5	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,896310,4679			0.2
2	USA	32,669,121	+67,070	584,226 	+896	25,236,658	+59,224	6,848,237	9,962	98,233	1,757	435,438,612	1,309,318	332,569,103 	North America	105691	202	3	20,592
3	India	16,257,309	+332,503	186,928 	+2,256	13,641,606	+192,200	2,428,775	8,944	11,688	134	272,705,103	196,058	1,390,938,435 	Asia	867,4415	239	2	1,746
4	Brazil	14,172,139	+49,344	383,757 	+2,070	12,673,785	+27,653	1,114,597	8,318	66,294	1,795	28,600,000	133,783	213,778,290 	South America	155577	231	10	5,214
5	France	5,408,606	+34,318	102,164 	+283	4,243,176	+24,569	1,063,266	5,981	82,713	1,562	73,468,365	1,123,538	65,390,220 	Europe	126401	525	4	16,260
6	Russia	4,736,121	+8,996	107,103 	+397	4,361,807	+8,934	267,211	2,300	32,443	734	126,800,000	868,582	145,985,055 	Europe	311,3631	62	3	1,830
7	Turkey	4,501,382	+54,791	37,329 	+354	3,909,935	+65,593	554,118	3,463	52,914	439	45,040,704	529,453	85,070,186 	Asia	192,2792	644	4	6,514
8	UK	4,398,431	+2,729	127,345 	+18	4,171,798	+5,064	99,288	276	64,518	1,868	146,043,397	2,142,220	68,173,867 	Europe	155350	40	0.3	1,456
9	Italy	3,920,945	+16,232	118,357 	+360	3,330,392	+19,125	472,196	3,021	64,927	1,960	56,250,055	931,448	60,389,901 	Europe	155101	269	6	7,819
10	Spain	3,456,886	+10,814	77,496 	+132	3,156,955	+5,368	222,435	2,283	73,913	1,657	44,374,223	948,787	46,769,420 	Europe	146041	231	3	4,756
11	Germany	3,238,054	+29,382	81,693 	+311	2,845,300	+21,200	311,061	5,049	38,548	973	54,061,332	643,585	84,000,346 	Europe	261,0282	350	4	3,703
12	Argentina	2,796,768	+27,216	60,620 	+537	2,449,793	+25,118	286,355	4,791	61,427	1,331	10,521,258	231,084	45,530,079 	South America	167514	598	12	6,289
13	Poland	2,731,264	+12,770	64,168 	+694	2,380,787	+14,557	286,309	3,229	72,231	1,697	13,767,550	364,095	37,813,081 	Europe	145893	338	18	7,572
14	Colombia	2,720,619	+19,306	70,026 	+430	2,538,020	+16,076	112,573	5,306	53,013	1,365	14,134,970	275,429	51,319,826 	South America	197334	376	8	2,194
15	Iran	2,335,905	+24,092	68,366 	+453	1,837,590	+13,632	429,949	5,038	27,527	806	14,854,140	175,046	84,858,374 	Asia	361,2416	284	5	5,067
16	Mexico	2,315,811	+4,639	213,597 	+549	1,839,381	+3,004	262,833	4,798	17,811	1,643	6,463,391	49,709	130,024,158 	North America	5660920	36	4	2,021
17	Ukraine	1,990,353	+16,235	41,266 	+470	1,533,303	+18,831	415,784	177	45,733	948	9,089,301	208,849	43,520,907 	Europe	221,0555	373	11	9,554
18	Peru	1,734,606	+7,800	58,604 	+343	1,661,792	+8,381	14,210	2,614	52,026	1,758	10,650,847	319,448	33,341,429 	South America	195693	234	10	426
