Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,510	+11	4,636 		85,559	+10	315	6	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,902310,4679
2	USA	32,476,153	+51,653	581,573 	+498	25,043,463	+77,547	6,851,117	9,815	97,655	1,749	430,886,619	1,295,672	332,558,517 	North America	105721
3	India	15,314,714	+256,947	180,550 	+1,757	13,103,220	+154,372	2,030,944	8,944	11,011	130	267,894,549	192,610	1,390,864,355 	Asia	917,7035
4	Brazil	13,977,713	+34,642	375,049 	+1,607	12,460,712	+69,113	1,141,952	8,318	65,387	1,754	28,600,000	133,789	213,770,046 	South America	155707
5	France	5,296,822	+7,296	101,222 	+489	4,151,289	+35,205	1,044,311	5,970	81,004	1,548	72,613,536	1,110,478	65,389,433 	Europe	126461
6	Russia	4,710,690	+8,589	105,928 	+346	4,333,598	+6,818	271,164	2,300	32,268	726	126,000,000	863,104	145,984,714 	Europe	311,3781
7	UK	4,390,783	+2,963	127,274 	+4	4,156,135	+5,567	107,374	332	64,407	1,867	143,958,619	2,111,700	68,171,922 	Europe	165360
8	Turkey	4,323,596	+55,149	36,267 	+341	3,736,537	+48,947	550,792	3,319	50,827	426	44,087,628	518,280	85,065,229 	Asia	202,3462
9	Italy	3,878,989	+8,859	117,243 	+316	3,268,262	+19,669	493,484	3,244	64,232	1,941	55,241,172	914,735	60,390,385 	Europe	165151
10	Spain	3,428,354	+6,898	77,102 	+40	3,144,353	+5,040	206,899	2,276	73,303	1,649	44,374,223	948,789	46,769,321 	Europe	146071
11	Germany	3,164,447	+13,417	80,774 	+183	2,787,200	+12,000	296,473	4,932	37,672	962	52,737,238	627,833	83,998,886 	Europe	271,0402
12	Argentina	2,714,475	+20,461	59,476 	+248	2,386,383	+22,212	268,616	4,304	59,622	1,306	10,221,233	224,505	45,527,815 	South America	177654
13	Poland	2,695,325	+7,281	62,133 	+101	2,334,978	+23,833	298,214	3,346	71,280	1,643	13,503,602	357,112	37,813,307 	Europe	146093
14	Colombia	2,667,136	+14,189	68,748 	+420	2,488,246	+16,748	110,142	4,299	51,974	1,340	13,907,796	271,018	51,316,864 	South America	197464
15	Mexico	2,305,602	+1,506	212,339 	+111	1,829,480	+2,834	263,783	4,798	17,733	1,633	6,407,248	49,280	130,016,760 	North America	5661220
16	Iran	2,261,435	+24,346	67,130 	+398	1,797,319	+11,961	396,986	4,843	26,651	791	14,500,500	170,891	84,852,500 	Asia	381,2646
17	Ukraine	1,953,016	+6,506	40,000 	+214	1,487,677	+5,598	425,339	177	44,874	919	8,958,482	205,836	43,522,336 	Europe	221,0885
18	Peru	1,707,787	+3,030	57,537 	+307	1,636,286	+8,317	13,964	2,574	51,225	1,726	10,461,475	313,792	33,338,918 	South America	205793
19	Indonesia	1,609,300	+4,952	43,567 	+143	1,461,414	+6,349	104,319		5,834	158	13,891,160	50,360	275,838,089 	Asia	1716,33120
20	Czechia	1,602,729	+829	28,604 	+69	1,514,953	+48	59,172	879	149,440	2,667	15,718,197	1,465,576	10,724,928 	Europe	73751
21	South Africa	1,567,513	+744	53,757 	+21	1,490,876	+733	22,880	546	26,166	897	10,355,196	172,856	59,906,596 	Africa	381,1146
22	Netherlands	1,410,950	+7,117	16,938 	+22	1,177,664	+7,581	216,348	801	82,198	987	11,781,337	686,346	17,165,301 	Europe	121,0131
23	Canada	1,131,773	+10,275	23,667 	+44	1,019,779	+9,829	88,327	1,167	29,778	623	30,041,115	790,407	38,007,134 	North America	341,6061
24	Chile	1,131,340	+6,622	25,277 	+100	1,060,826	+7,191	45,237	3,364	58,778	1,313	12,426,663	645,621	19,247,606 	South America	177612
25	Romania	1,031,072	+1,768	26,381 	+149	944,774	+3,982	59,917	1,448	53,886	1,379	7,914,543	413,629	19,134,403 	Europe	197252
26	Iraq	984,950	+7,775	15,026 	+45	864,039	+7,507	105,885	493	24,058	367	8,847,336	216,098	40,941,346 	Asia	422,7255
27	Belgium	949,996	+2,996	23,747 	+29	804,223	+5,103	122,026	924	81,684	2,042	11,985,089	1,030,526	11,630,075 	Europe	124901
28	Philippines	945,727	+9,610	16,048 	+88	788,295	+9,239	141,384	750	8,540	145	11,197,550	101,109	110,746,960 	Asia	1176,90110
29	Sweden	916,830	+2,715	13,789 		740,174	+9,787	162,867	391	90,330	1,359	8,151,774	803,151	10,149,737 	Europe	117361
30	Israel	837,218	+171	6,341 	+6	828,686	+198	2,191	187	91,026	689	13,977,443	1,519,685	9,197,590 	Asia	111,4501
31	Portugal	831,221	+220	16,946 	+1	789,216	+547	25,059	112	81,710	1,666	9,784,610	961,840	10,172,808 	Europe	126001
32	Pakistan	761,437	+5,152	16,316 	+73	662,845	+3,362	82,276	4,515	3,395	73	11,204,529	49,951	224,312,593 	Asia	29513,74820
33	Hungary	753,188	+2,680	25,381 	+197	458,212	+3,183	269,595	1,052	78,126	2,633	5,144,130	533,588	9,640,633 	Europe	133802
34	Bangladesh	723,221	+4,271	10,497 	+112	621,300	+6,364	91,424		4,357	63	5,194,219	31,290	166,002,634 	Asia	23015,81432
35	Jordan	689,482	+3,509	8,308 	+62	644,486	+6,005	36,688	729	67,043	808	6,502,520	632,282	10,284,207 	Asia	151,2382
36	Serbia	664,972	+2,604	6,026 	+35	594,605	+5,070	64,341	217	76,354	692	3,695,993	424,384	8,709,068 	Europe	131,4452
37	Switzerland	637,304	+4,905	10,521 	+13	570,159		56,624	232	73,208	1,209	6,538,153	751,052	8,705,330 	Europe	148271
38	Austria	595,540	+2,117	9,922 	+24	557,467	+2,249	28,151	570	65,823	1,097	29,014,550	3,206,881	9,047,592 	Europe	159120
39	Japan	534,409	+4,580	9,641 	+19	483,052	+2,259	41,716	738	4,236	76	10,918,947	86,545	126,165,185 	Asia	23613,08612
40	Lebanon	511,398	+995	6,959 	+34	429,598	+5,750	74,841	785	75,196	1,023	3,834,228	563,786	6,800,861 	Asia	139772
41	Morocco	505,949	+138	8,952 	+7	492,100	+290	4,897	249	13,579	240	6,167,072	165,512	37,260,477 	Africa	744,1626
42	UAE	498,957	+1,803	1,556 	+2	481,326	+1,760	16,075		49,966	156	41,909,042	4,196,792	9,985,970 	Asia	206,4180
43	Saudi Arabia	405,940	+970	6,834 	+11	389,598	+896	9,508	1,087	11,517	194	16,231,540	460,510	35,246,885 	Asia	875,1582
44	Bulgaria	388,815	+2,434	15,412 	+217	310,922	+4,244	62,481	780	56,298	2,232	2,378,019	344,324	6,906,335 	Europe	184483
45	Malaysia	377,132	+2,078	1,386 	+8	355,224	+1,402	20,522	228	11,534	42	8,665,139	265,009	32,697,551 	Asia	8723,5914
46	Slovakia	376,067	+93	11,172 	+66	255,300		109,595	430	68,854	2,045	2,505,182	458,676	5,461,766 	Europe	154892
47	Panama	361,044	+203	6,189 	+1	350,835	+225	4,020	105	82,637	1,417	2,303,585	527,256	4,369,010 	North America	127062
48	Ecuador	360,563	+17	17,703 		309,541		33,319	635	20,192	991	1,228,745	68,810	17,857,054 	South America	501,00915
49	Belarus	345,110	+887	2,433 	+10	335,485	+633	7,192		36,532	258	5,676,595	600,900	9,446,826 	Europe	273,8832
50	Greece	316,879	+1,606	9,540 	+78	275,553	+7,606	31,786	847	30,522	919	7,489,656	721,401	10,382,100 	Europe	331,0881
51	Croatia	308,200	+410	6,601 	+39	287,787	+2,227	13,812	199	75,449	1,616	1,703,343	416,986	4,084,894 	Europe	136192
52	Azerbaijan	301,661	+995	4,169 	+29	265,539	+1,136	31,953		29,539	408	3,114,879	305,011	10,212,350 	Asia	342,4503
53	Georgia	295,936	+578	3,949 	+10	281,574	+659	10,413		74,300	991	3,885,539	975,528	3,983,013 	Asia	131,0091
54	Kazakhstan	289,720	+2,719	3,406 	+22	248,096	+1,773	38,218	221	15,284	180	9,624,583	507,724	18,956,336 	Asia	655,5662
55	Bolivia	289,066	+521	12,648 	+14	238,195	+882	38,223	71	24,497	1,072	1,047,561	88,774	11,800,288 	South America	4193311
56	Tunisia	287,061	+1,571	9,825 	+42	236,593	+1,802	40,643	482	24,087	824	1,233,451	103,498	11,917,582 	Africa	421,21310
57	Nepal	285,900	+1,227	3,091 	+8	275,555	+255	7,254		9,674	105	2,352,502	79,598	29,554,944 	Asia	1039,56213
58	Palestine	282,270	+1,529	3,047 	+30	249,382	+2,023	29,841	167	54,326	586	1,684,585	324,219	5,195,830 	Asia	181,7053
59	Dominican Republic	261,531	+402	3,422 	+4	218,988	+264	39,121	159	23,917	313	1,373,143	125,573	10,934,977 	North America	423,1958
60	Kuwait	258,497	+1,510	1,456 	+8	241,696	+1,231	15,345	254	59,823	337	2,228,166	515,656	4,321,028 	Asia	172,9682
61	Paraguay	252,443	+2,278	5,384 	+71	207,803	+1,920	39,256	510	35,049	748	1,026,625	142,535	7,202,601 	South America	291,3387
62	Moldova	246,238	+341	5,591 	+20	232,328	+1,093	8,319	260	61,155	1,389	938,584	233,106	4,026,427 	Europe	167204
63	Ireland	243,911	+403	4,836 		224,995	+524	14,080	50	48,959	971	4,298,712	862,864	4,981,913 	Europe	201,0301
64	Ethiopia	243,631	+1,603	3,392 	+22	180,645	+1,330	59,594	972	2,078	29	2,507,403	21,389	117,229,360 	Africa	48134,56147
65	Denmark	243,374	+741	2,459 	+4	231,628	+462	9,287	36	41,899	423	32,315,708	5,563,458	5,808,565 	Europe	242,3620
66	Lithuania	234,245	+605	3,776 	+16	211,503	+92	18,966	193	87,026	1,403	2,613,526	970,975	2,691,652 	Europe	117131
67	Slovenia	232,313	+236	4,167 	+8	216,261	+275	11,885	157	111,734	2,004	1,131,746	544,327	2,079,167 	Europe	94992
68	Costa Rica	230,837	+536	3,099 	+8	197,842	+336	29,896	263	44,986	604	914,427	178,204	5,131,361 	North America	221,6566
69	Egypt	217,186	+852	12,778 	+40	163,812	+333	40,596	90	2,091	123	2,677,262	25,774	103,873,875 	Africa	4788,12939
70	Guatemala	213,049	+315	7,241 	+20	191,492	+548	14,316	5	11,719	398	1,166,672	64,174	18,179,938 	North America	852,51116
71	Armenia	208,818	+298	3,895 	+17	189,017	+1,551	15,906		70,364	1,312	937,603	315,937	2,967,689 	Asia	147623
72	Honduras	200,935	+676	4,957 	+3	76,339	+104	119,639	576	20,033	494	560,904	55,920	10,030,403 	North America	502,02318
73	Qatar	197,476	+896	386 	+4	174,698	+728	22,392	461	70,331	137	1,844,598	656,954	2,807,805 	Asia	147,2742
74	Bosnia and Herzegovina	191,154	+387	7,938 	+68	148,146	+2,283	35,070		58,557	2,432	872,381	267,241	3,264,397 	Europe	174114
75	Venezuela	184,595	+1,405	1,925 	+20	166,826	+867	15,844	289	6,506	68	3,359,014	118,395	28,371,170 	South America	15414,7388
76	Oman	181,430	+1,399	1,890 	+12	161,670	+1,346	17,870	265	34,824	363	1,550,000	297,509	5,209,934 	Asia	292,7573
77	Libya	172,464	+584	2,908 	+12	157,658	+648	11,898		24,829	419	932,398	134,236	6,945,974 	Africa	402,3897
78	Uruguay	167,033	+2,289	1,971 	+63	136,304	+3,387	28,758	519	47,951	566	1,641,855	471,339	3,483,388 	South America	211,7672
79	Bahrain	165,118	+1,008	600 	+6	153,671	+1,310	10,847	95	94,437	343	3,918,378	2,241,075	1,748,437 	Asia	112,9140
80	Nigeria	164,303	+70	2,061 		154,384	+52	7,858	11	782	10	1,870,915	8,900	210,204,747 	Africa	1,279101,992112
81	Kenya	151,894	+241	2,501 	+20	102,278	+636	47,115	250	2,776	46	1,605,847	29,349	54,714,776 	Africa	36021,87734
82	North Macedonia	147,229	+135	4,478 	+35	123,710	+900	19,041	124	70,671	2,149	692,096	332,211	2,083,305 	Europe	144653
83	Myanmar	142,644	+16	3,206 		131,903	+8	7,535		2,608	59	2,559,883	46,797	54,702,094 	Asia	38317,06221
84	Albania	129,694	+100	2,347 	+5	102,171	+587	25,176	18	45,107	816	605,277	210,511	2,875,272 	Europe	221,2255
85	Algeria	119,805	+163	3,160 	+5	83,514	+117	33,131	21	2,693	71	230,861	5,190	44,482,821 	Africa	37114,077193
86	Estonia	117,781	+227	1,100 	+8	102,226	+347	14,455	54	88,741	829	1,234,091	929,810	1,327,251 	Europe	111,2071
87	S. Korea	114,646	+531	1,801 	+4	104,474	+468	8,371	99	2,235	35	8,414,821	164,017	51,304,613 	Asia	44828,4876
88	Latvia	111,536	+202	2,056 	+3	102,174	+230	7,306	86	59,664	1,100	2,125,172	1,136,825	1,869,392 	Europe	179091
89	Norway	108,028	+518	709 	+1	88,952		18,367	46	19,803	130	5,009,274	918,257	5,455,197 	Europe	507,6941
90	Sri Lanka	97,105	+309	620 	+2	93,374	+261	3,111		4,520	29	2,374,627	110,524	21,485,260 	Asia	22134,6549
91	Montenegro	95,695	+144	1,438 	+9	91,119	+216	3,138	69	152,349	2,289	361,946	576,228	628,130 	Europe	74372
92	Cuba	94,571	+1,060	531 	+6	89,073	+1,038	4,967	64	8,354	47	3,385,469	299,042	11,321,062 	North America	12021,3203
93	Kyrgyzstan	92,095	+212	1,555 	+6	87,056	+149	3,484	25	13,932	235	935,444	141,517	6,610,130 	Asia	724,2517
94	Ghana	91,709		771 		89,604		1,334	9	2,903	24	1,047,048	33,145	31,589,851 	Africa	34440,97330
95	Zambia	90,942	+24	1,236 	+1	88,860	+142	846	48	4,839	66	1,348,181	71,738	18,793,052 	Africa	20715,20514
96	Uzbekistan	86,982	+302	638 		84,307	+264	2,037	23	2,569	19	1,377,915	40,698	33,856,766 	Asia	38953,06725
97	Finland	84,287	+156	891 	+4	46,000		37,396	34	15,193	161	4,266,864	769,133	5,547,630 	Europe	666,2261
98	Mozambique	69,228	+25	800 	+2	62,315	+1,022	6,113	43	2,167	25	504,532	15,791	31,951,225 	Africa	46239,93963
99	El Salvador	67,702	+145	2,078 	+3	63,872	+85	1,752	62	10,396	319	890,065	136,671	6,512,447 	North America	963,1347
100	Luxembourg	65,144	+30	786 	+1	61,539	+912	2,819	30	102,733	1,240	2,570,604	4,053,883	634,109 	Europe	108070
101	Cameroon	64,809		939 		57,821		6,049	385	2,394	35	1,257,949	46,467	27,071,599 	Africa	41828,83022
