Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,447	+12	4,636 		85,513	+7	298	6	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,913310,4679
2	USA	32,149,660	+78,876	578,098 	+921	24,696,161	+69,751	6,875,401	9,676	96,683	1,739	423,439,379	1,273,399	332,526,757 	North America	105751
3	India	14,070,890	+199,569	173,152 	+1,037	12,426,146	+93,458	1,471,592	8,944	10,118	125	260,618,866	187,409	1,390,642,113 	Asia	998,0315
4	Brazil	13,677,564	+75,998	362,180 	+3,462	12,170,771	+95,973	1,144,613	8,318	63,990	1,694	28,600,000	133,804	213,745,314 	South America	165907
5	France	5,149,834	+43,505	99,777 	+297	3,978,356	+6,174	1,071,701	5,902	78,759	1,526	70,521,002	1,078,516	65,387,072 	Europe	136551
6	Russia	4,666,209	+8,326	104,000 	+399	4,291,223	+9,447	270,986	2,300	31,964	712	124,400,000	852,150	145,983,692 	Europe	311,4041
7	UK	4,378,304	+2,490	127,161 	+38	4,113,338	+6,559	137,805	370	64,230	1,865	138,606,631	2,033,366	68,166,088 	Europe	165360
8	Turkey	4,025,557	+62,797	34,734 	+279	3,480,146	+55,413	510,677	3,018	47,331	408	42,509,905	499,820	85,050,360 	Asia	212,4492
9	Italy	3,809,182	+16,157	115,557 	+469	3,178,976	+20,251	514,649	3,490	63,074	1,913	53,885,257	892,261	60,391,837 	Europe	165231
10	Spain	3,387,022	+10,474	76,756 	+131	3,118,437	+4,384	191,829	2,153	72,420	1,641	44,285,495	946,898	46,769,025 	Europe	146091
11	Germany	3,064,382	+32,546	79,813 	+405	2,718,700	+18,500	265,869	4,662	36,483	950	51,559,277	613,841	83,994,506 	Europe	271,0522
12	Poland	2,621,112	+21,279	59,930 	+803	2,229,801	+10,146	331,381	3,457	69,316	1,585	13,243,930	350,239	37,813,984 	Europe	146313
13	Argentina	2,604,157	+25,157	58,542 	+368	2,278,486	+15,611	267,129	3,879	57,208	1,286	9,833,106	216,012	45,521,023 	South America	177785
14	Colombia	2,585,801	+16,487	66,819 	+337	2,419,265	+10,641	99,717	4,299	50,398	1,302	13,526,900	263,641	51,307,978 	South America	207684
15	Mexico	2,286,133	+4,293	210,294 	+592	1,815,237	+2,543	260,602	4,798	17,586	1,618	6,305,194	48,504	129,994,567 	North America	5761821
16	Iran	2,143,794	+25,582	65,359 	+304	1,739,002	+9,709	339,433	4,539	25,270	770	13,964,570	164,609	84,834,876 	Asia	401,2986
17	Ukraine	1,887,338	+14,553	38,225 	+467	1,442,618	+12,384	406,495	177	43,361	878	8,770,753	201,503	43,526,620 	Europe	231,1395
18	Peru	1,667,737	+8,030	55,812 	+323	1,592,937	+8,512	18,988	2,615	50,035	1,674	10,158,843	304,783	33,331,387 	South America	205973
19	Czechia	1,590,150	+5,050	28,184 	+79	1,483,301	+312	78,665	1,097	148,271	2,628	14,872,167	1,386,734	10,724,603 	Europe	73811
20	Indonesia	1,583,182	+5,656	42,906 	+124	1,431,892	+5,747	108,384		5,741	156	13,584,986	49,258	275,790,702 	Asia	1746,42820
