Position	Country	Total_Cases	New_Cases	Total_Deaths	New_Deaths	Total_Recovered	New_Recovered	Active_Cases	Serious_Critical	Tot_Cases/1M_pop	Deaths/1M_pop	Total_Tests	Tests/1M_pop	Population	Region	Bla
1	China	90,686	+15	4,636 		85,725	+15	325	4	63	3	160,000,000	111,163	1,439,323,776 	Asia	15,872310,4679	0.01		0.2
2	USA	33,180,441	+30,701	591,062 	+312	25,823,800	+37,191	6,765,579	9,466	99,754	1,777	448,984,680	1,349,834	332,622,037 	North America	105631	92	0.9	20,340
3	India	19,919,715	+370,059	218,945 	+3,422	16,281,738	+299,966	3,419,032	8,944	14,317	157	290,142,339	208,539	1,391,308,838 	Asia	706,3555	266	2	2,457
4	Brazil	14,754,910	+28,935	407,775 	+1,210	13,278,718	+36,053	1,068,417	8,318	69,006	1,907	43,818,216	204,931	213,819,510 	South America	145245	135	6	4,997
5	France	5,652,247	+9,888	104,819 	+113	4,637,053	+46,485	910,375	5,585	86,434	1,603	76,694,164	1,172,798	65,394,155 	Europe	126241	151	2	13,921
6	Turkey	4,875,388	+25,980	40,844 	+340	4,480,381	+75,182	354,163	3,532	57,293	480	47,744,338	561,071	85,094,968 	Asia	172,0832	305	4	4,162
7	Russia	4,823,255	+8,697	110,862 	+342	4,443,922	+7,339	268,471	2,300	33,039	759	129,800,000	889,122	145,986,759 	Europe	301,3171	60	2	1,839
8	UK	4,420,201	+1,671	127,538 	+14	4,221,582	+3,410	71,081	185	64,828	1,871	156,302,824	2,292,382	68,183,590 	Europe	155350	25	0.2	1,042
9	Italy	4,044,762	+9,148	121,177 	+144	3,492,679	+8,637	430,906	2,524	66,980	2,007	59,114,826	978,925	60,387,482 	Europe	154981	151	2	7,136
10	Spain	3,524,077		78,216 		3,206,273		239,588	2,308	75,349	1,672	46,199,597	987,806	46,769,913 	Europe	135981			5,123
11	Germany	3,425,598	+13,225	83,826 	+124	3,024,600	+12,500	317,172	5,049	40,777	998	55,490,413	660,540	84,007,647 	Europe	251,0022	157	1	3,776
12	Argentina	3,005,259	+11,394	64,252 	+156	2,676,197	+20,838	264,810	5,371	65,990	1,411	11,245,454	246,928	45,541,400 	South America	157094	250	3	5,815
13	Colombia	2,893,655	+15,909	74,700 	+485	2,700,594	+14,195	118,361	6,006	56,368	1,455	14,944,628	291,122	51,334,635 	South America	186873	310	9	2,306
14	Poland	2,803,231	+4,610	68,068 	+144	2,520,968	+10,110	214,195	2,652	74,136	1,800	14,428,003	381,573	37,811,953 	Europe	135563	122	4	5,665
15	Iran	2,534,855	+18,698	72,484 	+394	1,988,165	+17,101	474,206	5,443	29,861	854	16,101,399	189,679	84,887,747 	Asia	331,1715	220	5	5,586
16	Mexico	2,347,780	+3,025	217,168 	+261	1,867,191	+2,277	263,421	4,798	18,051	1,670	6,650,124	51,131	130,061,146 	North America	5559920	23	2	2,025
17	Ukraine	2,083,180	+5,094	44,596 	+160	1,676,265	+5,784	362,319	177	47,874	1,025	9,477,843	217,813	43,513,767 	Europe	219765	117	4	8,327
18	Peru	1,810,998	+6,083	62,126 	+337	1,688,091		60,781	2,654	54,296	1,863	11,269,734	337,883	33,353,981 	South America	185373	182	10	1,822
19	Indonesia	1,677,274	+4,394	45,796 	+144	1,530,718	+3,740	100,760		6,079	166	14,703,659	53,287	275,932,862 	Asia	1656,02519	16	0.5	365
20	Czechia	1,634,115	+1,171	29,355 	+23	1,562,264	+48	42,496	497	152,357	2,737	18,422,238	1,717,599	10,725,578 	Europe	73651	109	2	3,962
21	South Africa	1,584,064	+1,222	54,417 	+11	1,507,778	+1,046	21,869	546	26,431	908	10,699,021	178,522	59,931,112 	Africa	381,1016	20	0.2	365
22	Netherlands	1,507,615	+5,508	17,172 	+3	1,270,527	+7,232	219,916	810	87,823	1,000	12,274,847	715,045	17,166,540 	Europe	111,0001	321	0.2	12,811
23	Canada	1,234,181	+7,146	24,300 	+39	1,126,138	+6,859	83,743	1,422	32,463	639	31,756,698	835,308	38,017,972 	North America	311,5651	188	1	2,203
24	Chile	1,210,920	+6,165	26,561 	+104	1,143,565	+6,749	40,794	3,318	62,895	1,380	13,182,710	684,710	19,252,980 	South America	167251	320	5	2,119
25	Iraq	1,074,930	+4,564	15,536 	+38	957,200	+7,859	102,194	578	26,236	379	9,408,134	229,629	40,971,011 	Asia	382,6374	111	0.9	2,494
26	Romania	1,057,655	+1,083	28,282 	+88	995,506	+2,901	33,867	1,253	55,287	1,478	8,285,525	433,112	19,130,218 	Europe	186762	57	5	1,770
27	Philippines	1,054,970	+8,333	17,431 	+77	966,020	+9,012	71,519	750	9,522	157	11,901,873	107,423	110,794,784 	Asia	1056,3569	75	0.7	646
28	Belgium	993,434	+3,205	24,258 	+28	858,223		110,953	855	85,407	2,086	12,586,507	1,082,084	11,631,725 	Europe	124801	276	2	9,539
